Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	-0.004053199656776418
SLC27A1	14.0	-0.004741904890936066
MAML2	22.0	0.0035225579189812617
WWC1	18.0	0.0035225579189812617
RASL11A	20.0	0.0035225579189812617
TNF	8.0	0.0035225579189812617
SALL4	4.0	0.0035225579189812617
ZMIZ2	13.0	-0.004741904890936066
FBXO4	3.0	0.0035225579189812617
DPF3	14.0	-0.004741904890936066
PKNOX1	13.0	-0.004741904890936066
JUNB	8.0	0.0035225579189812617
SOX7	4.0	0.0035225579189812617
TP63	0.0	0.0035225579189812617
ABT1	3.0	0.0035225579189812617
ZNF287	12.0	-0.004741904890936177
OSR2	23.0	0.0035225579189812617
ARID5A	3.0	0.0035225579189812617
RFX2	1.0	0.0035225579189812617
RFX3	22.0	0.0035225579189812617
WDR75	3.0	0.0035225579189812617
EBF3	3.0	0.0035225579189812617
ACSL3	15.0	-0.004053199656776418
WDR77	14.0	-0.004741904890936066
MAF	2.0	0.0035225579189812617
PPP1R3E	12.0	-0.004741904890936177
ZNF438	14.0	-0.004741904890936066
ATF3	11.0	-0.004397552273856187
ZNF395	4.0	0.0035225579189812617
NOTCH4	17.0	0.0035225579189812617
MEPCE	10.0	0.003522557918981206
PIK3R1	20.0	0.0035225579189812617
FOXO1	23.0	0.0035225579189812617
SEC14L2	23.0	0.0035225579189812617
RAI1	2.0	0.0035225579189812617
CHTF8	12.0	-0.004741904890936177
CLEC7A	2.0	0.0035225579189812617
PRDM16	17.0	0.0035225579189812617
CAMTA2	14.0	-0.004741904890936066
TP53BP1	14.0	-0.004741904890936066
ZNF267	1.0	0.0035225579189812617
ZBED3	0.0	0.0035225579189812617
EGR1	12.0	-0.004741904890936177
NFE2	7.0	0.0035225579189812617
POU2F1	2.0	0.0035225579189812617
TGFB1	7.0	0.0035225579189812617
UQCC2	17.0	0.0035225579189812617
ZBTB16	20.0	0.0035225579189812617
NR1D2	14.0	-0.004741904890936066
NR1D1	12.0	-0.004741904890936177
ELL3	14.0	-0.004741904890936066
TFCP2	13.0	-0.004741904890936066
NR4A3	16.0	-0.004053199656776418
SLC6A9	6.0	0.0035225579189812617
RFXAP	9.0	0.0035225579189812617
BCL3	9.0	0.0035225579189812617
SNAI1	9.0	0.0035225579189812617
NANOG	3.0	0.0035225579189812617
RARG	9.0	0.0035225579189812617
CSRNP2	8.0	0.0035225579189812617
CITED4	19.0	0.0035225579189812617
ADM	0.0	0.0035225579189812617
TFCP2L1	21.0	0.0035225579189812617
BRCA1	16.0	-0.004053199656776418
MED16	14.0	-0.004741904890936066
NR2E3	16.0	-0.004053199656776418
FLCN	11.0	-0.004397552273856187
EPM2AIP1	11.0	-0.004397552273856187
HHEX	5.0	0.0035225579189812617
DBP	14.0	-0.004741904890936066
HEY1	16.0	-0.004053199656776418
TRIM5	14.0	-0.004741904890936066
CD36	19.0	0.0035225579189812617
ZNF485	12.0	-0.004741904890936177
RBM14	14.0	-0.004741904890936066
EDN1	23.0	0.0035225579189812617
HSP90AA1	16.0	-0.004053199656776418
RIPK3	12.0	-0.004741904890936177
PPP2R5B	11.0	-0.004397552273856187
TENT5B	18.0	0.0035225579189812617
IRF1	6.0	0.0035225579189812617
RPUSD3	10.0	0.003522557918981206
IRF7	13.0	-0.004741904890936066
PLCB1	20.0	0.0035225579189812617
MET	13.0	-0.004741904890936066
PAOX	15.0	-0.004053199656776418
HDAC5	12.0	-0.004741904890936177
ZNF594	12.0	-0.004741904890936177
KDM3A	2.0	0.0035225579189812617
RNASEL	12.0	-0.004741904890936177
SATB2	14.0	-0.004741904890936066
NR1I3	17.0	0.0035225579189812617
TYRP1	6.0	0.0035225579189812617
HOXD10	4.0	0.0035225579189812617
ARNTL	5.0	0.0035225579189812617
PSMC3IP	13.0	-0.004741904890936066
RXRB	9.0	0.0035225579189812617
BCLAF1	24.0	0.0035225579189812617
SERTAD1	11.0	-0.004397552273856187
NFIL3	2.0	0.0035225579189812617
ERBB4	18.0	0.0035225579189812617
TNNI2	3.0	0.0035225579189812617
BRD8	13.0	-0.004741904890936066
SF3B1	2.0	0.0035225579189812617
CCT5	12.0	-0.004741904890936177
HES5	11.0	-0.004397552273856187
BRD4	1.0	0.0035225579189812617
ATF7IP	16.0	-0.004053199656776418
GINS2	18.0	0.0035225579189812617
NFYA	13.0	-0.004741904890936066
ATAD5	3.0	0.0035225579189812617
NFYB	12.0	-0.004741904890936177
MACC1	19.0	0.0035225579189812617
KLF4	23.0	0.0035225579189812617
KLF2	16.0	-0.004053199656776418
APLN	5.0	0.0035225579189812617
PER2	20.0	0.0035225579189812617
HEYL	12.0	-0.004741904890936177
PER1	19.0	0.0035225579189812617
KLF7	19.0	0.0035225579189812617
TEF	15.0	-0.004053199656776418
CENPJ	12.0	-0.004741904890936177
