Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	-0.0037144921645665963
MAML2	22.0	0.003861265411191084
WWC1	18.0	0.003861265411191084
RASL11A	20.0	0.003861265411191084
TNF	8.0	0.003861265411191084
SALL4	4.0	0.003861265411191084
ZMIZ2	13.0	-0.004403197398726355
FBXO4	3.0	0.003861265411191084
DPF3	14.0	-0.004403197398726244
EPC2	12.0	-0.004403197398726466
PKNOX1	13.0	-0.004403197398726355
JUNB	8.0	0.003861265411191084
SOX7	4.0	0.003861265411191084
TP63	0.0	0.003861265411191084
ABT1	3.0	0.003861265411191084
ZNF287	12.0	-0.004403197398726466
OSR2	23.0	0.003861265411191084
ARID5A	3.0	0.003861265411191084
RFX2	1.0	0.003861265411191084
RFX3	22.0	0.003861265411191084
WDR75	3.0	0.003861265411191084
EBF3	3.0	0.003861265411191084
WDR77	14.0	-0.004403197398726244
MAF	2.0	0.003861265411191084
ZNF438	14.0	-0.004403197398726244
TIMELESS	15.0	-0.0037144921645665963
DXO	12.0	-0.004403197398726466
ATF3	11.0	-0.004058844781646531
ZNF395	4.0	0.003861265411191084
NOTCH4	17.0	0.003861265411191084
MEPCE	10.0	0.003861265411191084
PIK3R1	20.0	0.003861265411191084
FOXO1	23.0	0.003861265411191084
SEC14L2	23.0	0.003861265411191084
RAI1	2.0	0.003861265411191084
CHTF8	12.0	-0.004403197398726466
PRDM16	17.0	0.003861265411191084
CAMTA2	14.0	-0.004403197398726244
TP53BP1	14.0	-0.004403197398726244
ZNF267	1.0	0.003861265411191084
ZBED3	0.0	0.003861265411191084
EGR1	12.0	-0.004403197398726466
NFE2	7.0	0.003861265411191084
POU2F1	2.0	0.003861265411191084
TGFB1	7.0	0.003861265411191084
ZBTB16	20.0	0.003861265411191084
NR1D2	14.0	-0.004403197398726244
NR1D1	12.0	-0.004403197398726466
ELL3	14.0	-0.004403197398726244
TFCP2	13.0	-0.004403197398726355
NR4A3	16.0	-0.0037144921645665963
RFXAP	9.0	0.003861265411191084
BCL3	9.0	0.003861265411191084
SNAI1	9.0	0.003861265411191084
NANOG	3.0	0.003861265411191084
RARG	9.0	0.003861265411191084
CSRNP2	8.0	0.003861265411191084
PPP1R10	11.0	-0.004058844781646531
CITED4	19.0	0.003861265411191084
TFCP2L1	21.0	0.003861265411191084
BRCA1	16.0	-0.0037144921645665963
MED16	14.0	-0.004403197398726244
NR2E3	16.0	-0.0037144921645665963
FLCN	11.0	-0.004058844781646531
ZCWPW1	15.0	-0.0037144921645665963
HHEX	5.0	0.003861265411191084
DBP	14.0	-0.004403197398726244
HEY1	16.0	-0.0037144921645665963
TRIM5	14.0	-0.004403197398726244
PLEKHN1	18.0	0.003861265411191084
ZNF485	12.0	-0.004403197398726466
RBM14	14.0	-0.004403197398726244
EDN1	23.0	0.003861265411191084
HSP90AA1	16.0	-0.0037144921645665963
RIPK3	12.0	-0.004403197398726466
PPP2R5B	11.0	-0.004058844781646531
NT5C3B	14.0	-0.004403197398726244
IRF1	6.0	0.003861265411191084
IRF7	13.0	-0.004403197398726355
PLCB1	20.0	0.003861265411191084
MET	13.0	-0.004403197398726355
DCP2	12.0	-0.004403197398726466
HDAC5	12.0	-0.004403197398726466
ZNF594	12.0	-0.004403197398726466
KDM3A	2.0	0.003861265411191084
RNASEL	12.0	-0.004403197398726466
SATB2	14.0	-0.004403197398726244
NR1I3	17.0	0.003861265411191084
HOXD10	4.0	0.003861265411191084
ARNTL	5.0	0.003861265411191084
EXOSC7	4.0	0.003861265411191084
PSMC3IP	13.0	-0.004403197398726355
RXRB	9.0	0.003861265411191084
BCLAF1	24.0	0.003861265411191084
SLX4	12.0	-0.004403197398726466
SERTAD1	11.0	-0.004058844781646531
NFIL3	2.0	0.003861265411191084
ERBB4	18.0	0.003861265411191084
TNNI2	3.0	0.003861265411191084
BRD8	13.0	-0.004403197398726355
SF3B1	2.0	0.003861265411191084
CCT5	12.0	-0.004403197398726466
HES5	11.0	-0.004058844781646531
BRD4	1.0	0.003861265411191084
ATF7IP	16.0	-0.0037144921645665963
GINS2	18.0	0.003861265411191084
NFYA	13.0	-0.004403197398726355
ATAD5	3.0	0.003861265411191084
EYA2	17.0	0.003861265411191084
NFYB	12.0	-0.004403197398726466
MACC1	19.0	0.003861265411191084
KLF4	23.0	0.003861265411191084
KLF2	16.0	-0.0037144921645665963
APLN	5.0	0.003861265411191084
PER2	20.0	0.003861265411191084
HEYL	12.0	-0.004403197398726466
PER1	19.0	0.003861265411191084
KLF7	19.0	0.003861265411191084
RAD50	13.0	-0.004403197398726355
TEF	15.0	-0.0037144921645665963
CENPJ	12.0	-0.004403197398726466
HSPA1A	13.0	-0.004403197398726355
