Item ID	Item value	Change in Kuiper test statistic when item removed
RBM14	14.0	-0.009881422924901018
EDN1	23.0	0.03557312252964451
HSP90AA1	16.0	-0.009881422924901018
RRM2	10.0	-0.009881422924900907
DUSP1	19.0	0.03557312252964451
PPP1R10	11.0	-0.009881422924900907
CEP152	13.0	-0.009881422924900907
INTS3	15.0	-0.009881422924901018
FAM107A	1.0	0.03557312252964451
PPP2R5B	11.0	-0.009881422924900907
UBE2E1	1.0	0.03557312252964451
BRCA1	16.0	-0.009881422924901018
DYNLL1	14.0	-0.009881422924901018
CDC25B	11.0	-0.009881422924900907
KLHL9	13.0	-0.009881422924900907
CDK5	15.0	-0.009881422924901018
CENPJ	12.0	-0.009881422924900907
ZFYVE19	14.0	-0.009881422924901018
CHORDC1	12.0	-0.009881422924900907
CCL2	10.0	-0.009881422924900907
NABP1	14.0	-0.009881422924901018
PLCB1	20.0	0.03557312252964451
HSPA1A	13.0	-0.009881422924900907
