Item ID	Item value	Change in Kuiper test statistic when item removed
PIF1	12.0	-0.012307692307692297
PPP1R10	11.0	-0.010641025641025648
BRCA1	16.0	-0.010641025641025592
TNF	8.0	0.027692307692307627
FLCN	11.0	-0.010641025641025648
ZCWPW1	15.0	-0.012307692307692186
HELB	12.0	-0.012307692307692297
CHTF8	12.0	-0.012307692307692297
SLX4	12.0	-0.012307692307692297
RECQL5	14.0	-0.012307692307692186
FBXO4	3.0	0.027692307692307627
EPC2	12.0	-0.012307692307692297
BRD8	13.0	-0.012307692307692186
TP53BP1	14.0	-0.012307692307692186
CCT5	12.0	-0.012307692307692297
GINS2	18.0	0.027692307692307738
HSP90AA1	16.0	-0.010641025641025592
TGFB1	7.0	0.027692307692307627
ATAD5	3.0	0.027692307692307627
EYA2	17.0	0.027692307692307738
KLF4	23.0	0.027692307692307738
RAD52	12.0	-0.012307692307692297
RAD50	13.0	-0.012307692307692186
BCL6	20.0	0.027692307692307738
TIMELESS	15.0	-0.012307692307692186
DCP2	12.0	-0.012307692307692297
