Item ID	Item value	Change in Kuiper test statistic when item removed
PUS10	14.0	0.008574879227053134
RNASEL	12.0	-0.005314009661835928
TXNL4B	10.0	-0.005314009661835928
FASTKD1	13.0	-0.005314009661835928
CSTF2	10.0	-0.005314009661835928
RRP1	1.0	0.016908212560386326
RBM4B	13.0	-0.005314009661835928
TRMT2A	11.0	-0.005314009661835817
NOL9	3.0	0.016908212560386326
TMTC1	16.0	0.014130434782608559
PIK3R1	20.0	0.016908212560386326
KRI1	10.0	-0.005314009661835928
TNF	8.0	0.016908212560386326
MRM1	12.0	-0.005314009661835928
WDR46	12.0	-0.005314009661835928
THG1L	15.0	0.01135265700483079
EXOSC7	4.0	0.016908212560386326
RBM4	13.0	-0.005314009661835928
HELB	12.0	-0.005314009661835928
HENMT1	16.0	0.014130434782608559
SF3B1	2.0	0.016908212560386326
RBM5	12.0	-0.005314009661835928
TRMT1L	11.0	-0.005314009661835817
ABT1	3.0	0.016908212560386326
TRMT10A	13.0	-0.005314009661835928
RBM14	14.0	0.008574879227053134
TRMT10B	12.0	-0.005314009661835928
TGFB1	7.0	0.016908212560386326
METTL1	13.0	-0.005314009661835928
INTS3	15.0	0.01135265700483079
ADAT1	11.0	-0.005314009661835817
BCDIN3D	11.0	-0.005314009661835817
WDR75	3.0	0.016908212560386326
CLK4	10.0	-0.005314009661835928
RPP25L	13.0	-0.005314009661835928
CLK1	10.0	-0.005314009661835928
MFAP1	11.0	-0.005314009661835817
ESRP1	22.0	0.016908212560386326
RPUSD3	10.0	-0.005314009661835928
TRMT13	12.0	-0.005314009661835928
INTS7	13.0	-0.005314009661835928
SNRPA1	3.0	0.016908212560386326
GEMIN6	11.0	-0.005314009661835817
INTS8	13.0	-0.005314009661835928
SRSF7	13.0	-0.005314009661835928
HSPA1A	13.0	-0.005314009661835928
