Item ID	Item value	Change in Kuiper test statistic when item removed
BCAR3	-6.0	-0.003921568627450744
CD86	-12.0	0.016078431372549273
SLC27A1	7.0	0.016078431372549273
BMPR2	-8.0	-0.003921568627450744
TFRC	-1.0	-0.003921568627450744
ITGB3	-8.0	-0.003921568627450744
CIB1	0.0	-0.003921568627450744
FZD10	-4.0	-0.003921568627450744
VLDLR	-5.0	-0.003921568627450744
TNF	3.0	0.002421473443746658
FLCN	2.0	-0.003921568627450744
GPER1	-7.0	-0.003921568627450744
HSP90AA1	9.0	0.016078431372549273
RIPK3	4.0	0.016078431372549273
PRLR	-3.0	-0.003921568627450744
DUSP6	1.0	-0.003921568627450744
TGFBR2	-6.0	-0.003921568627450744
CDC25B	2.0	-0.003921568627450744
TRAF4	2.0	-0.003921568627450744
CKS2	3.0	0.002421473443746658
ROR2	-5.0	-0.003921568627450744
GPRC5C	-2.0	-0.003921568627450744
PFN2	-1.0	-0.003921568627450744
CSF1R	5.0	0.016078431372549273
PELI2	-7.0	-0.003921568627450744
ADCY4	-5.0	-0.003921568627450744
LRP4	-4.0	-0.003921568627450744
ADRB2	8.0	0.016078431372549273
MST1R	3.0	0.002421473443746658
FGD2	-8.0	-0.003921568627450744
NTF4	7.0	0.016078431372549273
HPX	-8.0	-0.003921568627450744
C5	8.0	0.016078431372549273
ERBB4	-9.0	3.502760327434573E-4
CLEC7A	-7.0	-0.003921568627450744
STOX1	-5.0	-0.003921568627450744
HES5	3.0	0.002421473443746658
TBX1	-5.0	-0.003921568627450744
EGR1	0.0	-0.003921568627450744
TGFB1	-1.0	-0.003921568627450744
FZD5	-3.0	-0.003921568627450744
BDNF	-6.0	-0.003921568627450744
RARRES2	-9.0	3.502760327434573E-4
VEGFD	-6.0	-0.003921568627450744
VEGFA	-4.0	-0.003921568627450744
RAD50	4.0	0.016078431372549273
RGCC	-7.0	-0.003921568627450744
GHRL	-8.0	-0.003921568627450744
TEK	12.0	0.016078431372549273
CALM1	-4.0	-0.003921568627450744
MAP3K13	-4.0	-0.003921568627450744
