Item ID	Item value	Change in Kuiper test statistic when item removed
C1S	-7.0	0.01951951951951919
TNFAIP6	-9.0	-0.0082582582582586
SERPINE2	-6.0	0.01951951951951919
ADH1C	-9.0	-0.0082582582582586
CFH	-10.0	-0.0082582582582586
C1R	-9.0	-0.0082582582582586
LRRC17	-8.0	0.01951951951951919
TNC	-5.0	0.01951951951951919
FBLN1	-11.0	-0.0082582582582586
IRS2	-12.0	-0.0082582582582586
ATP1A2	-9.0	-0.0082582582582586
CRIP1	-2.0	0.01951951951951919
FBLN5	-10.0	-0.0082582582582586
WISP2	-12.0	-0.0082582582582586
FLRT2	5.0	0.01951951951951919
TSPAN8	8.0	-0.0082582582582586
CHL1	12.0	-0.0082582582582586
CTSK	-6.0	0.01951951951951919
SLIT3	-11.0	-0.0082582582582586
MYH11	-11.0	-0.0082582582582586
PHLDA2	1.0	0.01951951951951919
PDGFRA	9.0	-0.0082582582582586
LUM	-10.0	-0.0082582582582586
IGFBP3	-10.0	-0.0082582582582586
CYBRD1	7.0	-0.0082582582582586
PDE4DIP	6.0	0.01951951951951919
PLA2G4A	4.0	0.01951951951951919
SLC39A14	7.0	-0.0082582582582586
CXCL12	-11.0	-0.0082582582582586
COL1A2	-10.0	-0.0082582582582586
MGP	-12.0	-0.0082582582582586
UST	8.0	-0.0082582582582586
SSPN	10.0	-0.0082582582582586
ROR1	-12.0	-0.0082582582582586
FMOD	-4.0	0.01951951951951919
ASPA	7.0	-0.0082582582582586
RECK	7.0	-0.0082582582582586
