Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	5.0	-0.014285714285714235
PLA2G4F	5.0	-0.014285714285714235
SLC27A1	7.0	-0.014285714285714124
CHKA	5.0	-0.014285714285714235
PLEKHA1	-5.0	0.03571428571428581
PIGO	5.0	-0.014285714285714235
ABHD3	6.0	-0.014285714285714235
AVIL	2.0	0.03571428571428581
IPMK	-7.0	0.03571428571428581
PIGP	6.0	-0.014285714285714235
TTC7B	11.0	0.0357142857142857
PLA2G4A	4.0	0.027380952380952506
ACSL3	5.0	-0.014285714285714235
PIGV	5.0	-0.014285714285714235
AGPAT4	-7.0	0.03571428571428581
SOCS2	9.0	0.027380952380952395
AADAC	8.0	0.01904761904761909
LDLR	6.0	-0.014285714285714235
PIGF	6.0	-0.014285714285714235
PNPLA1	7.0	-0.014285714285714124
CDS2	-5.0	0.03571428571428581
