Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	-5.0	0.003752460629921295
DCLRE1A	3.0	-0.004121555118110187
SLC27A1	7.0	-0.004121555118110187
DCLRE1C	5.0	-0.004121555118110187
TFRC	-1.0	0.003752460629921295
MT1M	-7.0	0.003752460629921295
IRS2	-12.0	0.003752460629921295
AQP3	2.0	-0.0018249671916010235
TNF	3.0	-0.004121555118110187
GLS	-8.0	0.003752460629921295
AQP1	12.0	0.003752460629921295
ACTG1	8.0	0.003752460629921295
GJA1	-4.0	0.003752460629921295
MT2A	-5.0	0.003752460629921295
SESN3	2.0	-0.0018249671916010235
FBXO4	-6.0	0.003752460629921295
PDK4	9.0	0.003752460629921295
PKNOX1	6.0	-0.004121555118110187
ATP6V1E2	7.0	-0.004121555118110187
PDGFRA	9.0	0.003752460629921295
IL4R	0.0	0.003752460629921295
SCARA5	-11.0	0.003752460629921295
PRKCE	-8.0	0.003752460629921295
PRLR	-3.0	0.003752460629921295
CYP39A1	4.0	-0.004121555118110187
AFG3L2	-5.0	0.003752460629921295
EMCN	-10.0	0.003752460629921295
SLC9A9	10.0	0.003752460629921295
MT1F	-4.0	0.003752460629921295
TYRO3	7.0	-0.004121555118110187
MT1B	-6.0	0.003752460629921295
S100A9	-2.0	0.003752460629921295
XPR1	6.0	-0.004121555118110187
ABCG1	-4.0	0.003752460629921295
MT1E	-8.0	0.003752460629921295
CSF1R	5.0	-0.004121555118110187
PIF1	2.0	-0.0018249671916010235
RTEL1	7.0	-0.004121555118110187
ABCB6	6.0	-0.004121555118110187
NEDD4L	7.0	-0.004121555118110187
SLC41A1	5.0	-0.004121555118110187
OMA1	6.0	-0.004121555118110187
ADRB2	8.0	0.003752460629921295
ACACA	9.0	0.003752460629921295
HCAR2	3.0	-0.004121555118110187
HPX	-8.0	0.003752460629921295
BCL2L11	4.0	-0.004121555118110187
APOM	-2.0	0.003752460629921295
SLAMF8	6.0	-0.004121555118110187
KCNN4	-6.0	0.003752460629921295
PPARGC1A	-6.0	0.003752460629921295
PPARGC1B	-3.0	0.003752460629921295
EGR1	0.0	0.003752460629921295
WNT10B	7.0	-0.004121555118110187
MPIG6B	6.0	-0.004121555118110187
EPHX2	10.0	0.003752460629921295
TRPV2	5.0	-0.004121555118110187
CYBRD1	7.0	-0.004121555118110187
FANCC	6.0	-0.004121555118110187
NR1D2	5.0	-0.004121555118110187
POLA1	11.0	0.003752460629921295
CXCL12	-11.0	0.003752460629921295
NR4A3	2.0	-0.0018249671916010235
TRPV6	4.0	-0.004121555118110187
BCL6	-10.0	0.003752460629921295
SLC6A9	-3.0	0.003752460629921295
TRPV4	-3.0	0.003752460629921295
ID1	-1.0	0.003752460629921295
CCDC22	5.0	-0.004121555118110187
CALM1	-4.0	0.003752460629921295
ADA	6.0	-0.004121555118110187
SLC26A6	6.0	-0.004121555118110187
PPP1R10	4.0	-0.004121555118110187
ITGB3	-8.0	0.003752460629921295
SLC2A1	-6.0	0.003752460629921295
LAMC1	-5.0	0.003752460629921295
HK2	-4.0	0.003752460629921295
C1QTNF3	-12.0	0.003752460629921295
FLCN	2.0	-0.0018249671916010235
OPA1	-5.0	0.003752460629921295
CA2	7.0	-0.004121555118110187
GPER1	-7.0	0.003752460629921295
CD34	-9.0	0.003752460629921295
HSP90AA1	9.0	0.003752460629921295
MKKS	3.0	-0.004121555118110187
RIPK3	4.0	-0.004121555118110187
SGIP1	-9.0	0.003752460629921295
SLC39A10	7.0	-0.004121555118110187
ANO6	-4.0	0.003752460629921295
AMPD2	3.0	-0.004121555118110187
ELOVL6	11.0	0.003752460629921295
SLC39A14	7.0	-0.004121555118110187
RAD51D	6.0	-0.004121555118110187
CRY1	-7.0	0.003752460629921295
DNASE2	1.0	0.003752460629921295
PGAM5	4.0	-0.004121555118110187
MET	5.0	-0.004121555118110187
DCP2	4.0	-0.004121555118110187
PTGER4	3.0	-0.004121555118110187
SLC24A1	6.0	-0.004121555118110187
KDM3A	-4.0	0.003752460629921295
SLC24A3	-7.0	0.003752460629921295
ADCY4	-5.0	0.003752460629921295
ATP1A2	-9.0	0.003752460629921295
ARNTL	-4.0	0.003752460629921295
ATP6AP1L	4.0	-0.004121555118110187
LIMA1	3.0	-0.004121555118110187
SLX4	4.0	-0.004121555118110187
P2RY2	-4.0	0.003752460629921295
CHRNA10	4.0	-0.004121555118110187
CCL2	4.0	-0.004121555118110187
NCDN	4.0	-0.004121555118110187
LDLR	6.0	-0.004121555118110187
CCT5	2.0	-0.0018249671916010235
RIC3	6.0	-0.004121555118110187
EGLN2	3.0	-0.004121555118110187
IRX3	7.0	-0.004121555118110187
KLF2	5.0	-0.004121555118110187
NLE1	5.0	-0.004121555118110187
VEGFA	-4.0	0.003752460629921295
BAIAP3	-2.0	0.003752460629921295
PER2	-11.0	0.003752460629921295
KLF7	8.0	0.003752460629921295
RAD50	4.0	-0.004121555118110187
POLE2	-7.0	0.003752460629921295
GHRL	-8.0	0.003752460629921295
CCDC66	11.0	0.003752460629921295
PNPLA1	7.0	-0.004121555118110187
