Item ID	Item value	Change in Kuiper test statistic when item removed
CLPB	6.0	-0.007541478129713397
MT2A	-5.0	0.012066365007541435
PSTPIP1	7.0	-0.007541478129713397
TRIM5	7.0	-0.007541478129713397
GPER1	-7.0	0.012066365007541435
CASP4	6.0	-0.007541478129713397
TRIM68	4.0	-0.007541478129713397
CASP1	9.0	0.012066365007541435
TNFAIP8L2	5.0	-0.007541478129713397
ACTR3	8.0	-0.005090497737556543
RBM14	6.0	-0.007541478129713397
HSP90AA1	9.0	0.012066365007541435
ARG2	6.0	-0.007541478129713397
ARID5A	4.0	-0.007541478129713397
RNASE6	7.0	-0.007541478129713397
ZDHHC11	-4.0	0.012066365007541435
MPEG1	5.0	-0.007541478129713397
IRF7	5.0	-0.007541478129713397
TYRO3	7.0	-0.007541478129713397
TLR5	6.0	-0.007541478129713397
S100A9	-2.0	0.012066365007541435
NAIP	5.0	-0.007541478129713397
BIRC3	5.0	-0.007541478129713397
S100A7	-3.0	0.012066365007541435
CSF1R	5.0	-0.007541478129713397
RNASEL	6.0	-0.007541478129713397
CFH	-10.0	0.012066365007541435
C1S	-7.0	0.012066365007541435
C1R	-9.0	0.012066365007541435
PTAFR	0.0	0.01206636500754149
MST1R	3.0	0.01206636500754149
HPX	-8.0	0.012066365007541435
C5	8.0	-0.005090497737556543
IL1RL2	5.0	-0.007541478129713397
CLEC7A	-7.0	0.012066365007541435
RNASE7	6.0	-0.007541478129713397
SLAMF8	6.0	-0.007541478129713397
SLAMF7	7.0	-0.007541478129713397
CCL2	4.0	-0.007541478129713397
A2M	-10.0	0.012066365007541435
EGR1	0.0	0.01206636500754149
RARRES2	-9.0	0.012066365007541435
RAB27A	6.0	-0.007541478129713397
ITCH	-6.0	0.012066365007541324
RAET1E	6.0	-0.007541478129713397
FES	4.0	-0.007541478129713397
IGLL1	7.0	-0.007541478129713397
TRIM35	-11.0	0.012066365007541435
ZYX	7.0	-0.007541478129713397
SLC26A6	6.0	-0.007541478129713397
CCL26	8.0	-0.005090497737556543
C1QC	-6.0	0.012066365007541324
