Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	5.0	-0.00988700564971745
INTS13	3.0	-0.00988700564971745
UBXN2B	5.0	-0.00988700564971745
PPP1R10	4.0	-0.00988700564971745
FAM107A	-10.0	0.0070621468926554964
CIB1	0.0	0.007062146892655441
BRCA1	8.0	0.0070621468926554964
TNF	3.0	-0.00988700564971745
GJA1	-4.0	0.007062146892655441
PTTG1	-3.0	0.007062146892655441
ADAMTS1	5.0	-0.00988700564971745
MYB	-4.0	0.007062146892655441
GTSE1	-3.0	0.007062146892655441
TMEM8B	7.0	0.0070621468926554964
HSP90AA1	9.0	0.0070621468926554964
DUSP1	-11.0	0.0070621468926554964
UBE2E1	-8.0	0.0070621468926554964
SETMAR	5.0	-0.00988700564971745
TUBG2	2.0	-0.0021186440677966045
OVOL1	2.0	-0.0021186440677966045
TUBG1	3.0	-0.00988700564971745
GEM	-10.0	0.0070621468926554964
EML3	5.0	-0.00988700564971745
THAP1	4.0	-0.00988700564971745
CDC25B	2.0	-0.0021186440677966045
RAD51B	-11.0	0.0070621468926554964
CKS2	3.0	-0.00988700564971745
DTL	-11.0	0.0070621468926554964
L3MBTL1	5.0	-0.00988700564971745
RTEL1	7.0	0.0070621468926554964
TUBAL3	-9.0	0.0070621468926554964
MEPCE	3.0	-0.00988700564971745
CENPC	-8.0	0.0070621468926554964
AURKA	1.0	0.007062146892655441
CHTF8	4.0	-0.00988700564971745
RECQL5	6.0	0.0070621468926554964
CCL2	4.0	-0.00988700564971745
STOX1	-5.0	0.0070621468926554964
BRD4	-8.0	0.0070621468926554964
WNT10B	7.0	0.0070621468926554964
CDKN2B	3.0	-0.00988700564971745
RRM2	3.0	-0.00988700564971745
TGFB1	-1.0	0.007062146892655441
CEP152	5.0	-0.00988700564971745
INTS3	8.0	0.0070621468926554964
FOXN3	-6.0	0.0070621468926554964
KLF4	-9.0	0.0070621468926554964
NLE1	5.0	-0.00988700564971745
POLA1	11.0	0.0070621468926554964
RGCC	-7.0	0.0070621468926554964
BCL6	-10.0	0.0070621468926554964
POLE2	-7.0	0.0070621468926554964
CENPJ	5.0	-0.00988700564971745
RPA4	12.0	0.0070621468926554964
TUBGCP5	-7.0	0.0070621468926554964
TRIM35	-11.0	0.0070621468926554964
NABP1	5.0	-0.00988700564971745
TUBGCP6	5.0	-0.00988700564971745
TUBGCP3	-7.0	0.0070621468926554964
CALM1	-4.0	0.007062146892655441
