Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	6.0	-0.004312668463611835
ZNF572	4.0	-0.004312668463611724
ZNF692	6.0	-0.004312668463611835
ZMYND8	6.0	-0.004312668463611835
TNF	3.0	-0.004312668463611946
FOXQ1	-10.0	0.005211141060197766
GJA1	-4.0	0.005211141060197766
SALL4	-5.0	0.005211141060197766
MYB	-4.0	0.005211141060197766
DPF3	12.0	0.005211141060197766
SOX7	-5.0	0.005211141060197766
TLE2	9.0	0.005211141060197766
CTNNBIP1	-5.0	0.005211141060197766
ARID5A	4.0	-0.004312668463611724
KCTD1	6.0	-0.004312668463611835
RFX3	-9.0	0.005211141060197766
ARID5B	4.0	-0.004312668463611724
OVOL1	2.0	0.005211141060197766
HIC1	5.0	-0.004312668463611724
THAP1	4.0	-0.004312668463611724
SAP30	0.0	0.005211141060197766
MAF	-7.0	0.005211141060197766
DDIT4	-5.0	0.005211141060197766
RFX5	4.0	-0.004312668463611724
ERF	1.0	0.005211141060197766
ZNF559	4.0	-0.004312668463611724
TIMELESS	7.0	-0.004312668463611724
ZFPM2	-12.0	0.005211141060197766
SRSF7	6.0	-0.004312668463611835
ATF3	4.0	-0.004312668463611724
PPID	4.0	-0.004312668463611724
L3MBTL1	5.0	-0.004312668463611724
ZNF550	3.0	-0.004312668463611946
PIF1	2.0	0.005211141060197766
RTEL1	7.0	-0.004312668463611724
TSHZ3	-7.0	0.005211141060197766
NOTCH4	8.0	-0.004312668463611724
MEPCE	3.0	-0.004312668463611946
NEDD4L	7.0	-0.004312668463611724
PRDM11	6.0	-0.004312668463611835
NPAS1	7.0	-0.004312668463611724
ZBTB2	-8.0	0.005211141060197766
ZNF706	6.0	-0.004312668463611835
ZNF425	5.0	-0.004312668463611724
TP53BP1	7.0	-0.004312668463611724
PPARGC1A	-6.0	0.005211141060197766
MORC2	3.0	-0.004312668463611946
PPARGC1B	-3.0	0.005211141060197766
ZNF540	3.0	-0.004312668463611946
HEXIM2	6.0	-0.004312668463611835
EGR1	0.0	0.005211141060197766
WNT10B	7.0	-0.004312668463611724
TGFB1	-1.0	0.005211141060197766
ZBTB16	11.0	0.005211141060197766
BCDIN3D	3.0	-0.004312668463611946
NR1D2	5.0	-0.004312668463611724
FOXN3	-6.0	0.005211141060197766
NR4A3	2.0	0.005211141060197766
BCL6	-10.0	0.005211141060197766
ID1	-1.0	0.005211141060197766
BCL3	0.0	0.005211141060197766
NOSTRIN	-5.0	0.005211141060197766
NANOG	-7.0	0.005211141060197766
HOXD8	-10.0	0.005211141060197766
BMPR2	-8.0	0.005211141060197766
OGG1	5.0	-0.004312668463611724
BRCA1	8.0	-0.004312668463611724
SDR16C5	5.0	-0.004312668463611724
FLCN	2.0	0.005211141060197766
ZNF404	6.0	-0.004312668463611835
ZNF248	4.0	-0.004312668463611724
LRRFIP1	-7.0	0.005211141060197766
KLF12	8.0	-0.004312668463611724
DUSP1	-11.0	0.005211141060197766
PPHLN1	6.0	-0.004312668463611835
CBFA2T3	6.0	-0.004312668463611835
ELF3	-4.0	0.005211141060197766
CRY1	-7.0	0.005211141060197766
IRF7	5.0	-0.004312668463611724
DCP2	4.0	-0.004312668463611724
HDAC5	5.0	-0.004312668463611724
ZBTB49	3.0	-0.004312668463611946
SATB2	8.0	-0.004312668463611724
NR1I3	8.0	-0.004312668463611724
CIART	7.0	-0.004312668463611724
ARNTL	-4.0	0.005211141060197766
BCLAF1	-8.0	0.005211141060197766
SLX4	4.0	-0.004312668463611724
RECQL5	6.0	-0.004312668463611835
NFIL3	-6.0	0.005211141060197766
TBL1X	9.0	0.005211141060197766
TAF9B	9.0	0.005211141060197766
HES5	3.0	-0.004312668463611946
BEND5	-6.0	0.005211141060197766
ATF7IP	9.0	0.005211141060197766
IL33	7.0	-0.004312668463611724
KLF4	-9.0	0.005211141060197766
KLF2	5.0	-0.004312668463611724
VEGFA	-4.0	0.005211141060197766
KLF8	7.0	-0.004312668463611724
PER2	-11.0	0.005211141060197766
HEYL	8.0	-0.004312668463611724
PER1	10.0	0.005211141060197766
KLF7	8.0	-0.004312668463611724
RAD50	4.0	-0.004312668463611724
PER3	7.0	-0.004312668463611724
