Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	5.0	-0.007246376811594124
DCLRE1A	3.0	-0.007246376811594124
RNASEL	6.0	-0.007246376811594235
DCLRE1C	5.0	-0.007246376811594124
OGG1	5.0	-0.007246376811594124
CSTF2	3.0	-0.007246376811594124
ANGEL1	5.0	-0.007246376811594124
RNASE6	7.0	0.034420289855072506
SETMAR	5.0	-0.007246376811594124
USB1	6.0	-0.007246376811594235
NOL9	4.0	-0.007246376811594124
TSEN2	4.0	-0.007246376811594124
APTX	6.0	-0.007246376811594235
EDC3	6.0	-0.007246376811594235
EXOSC7	-3.0	0.036231884057971064
STK31	-6.0	0.036231884057971064
ENDOU	-6.0	0.036231884057971064
RAD50	4.0	-0.007246376811594124
RNASE7	6.0	-0.007246376811594235
EXO5	6.0	-0.007246376811594235
DNASE2	1.0	0.036231884057971064
DXO	5.0	-0.007246376811594124
DNASE1	3.0	-0.007246376811594124
DCP2	4.0	-0.007246376811594124
