Item ID	Item value	Change in Kuiper test statistic when item removed
PPP1R10	4.0	-0.00714285714285684
OGG1	5.0	-0.00714285714285684
BRCA1	8.0	-0.00714285714285684
TNF	3.0	0.003463203463203668
SH3RF1	-7.0	0.011038961038961348
CASP9	6.0	-0.00714285714285684
SPRED2	2.0	0.003463203463203668
ZCWPW1	6.0	-0.00714285714285684
ING2	-6.0	0.011038961038961348
OPA1	-5.0	0.011038961038961348
FBXO4	-6.0	0.011038961038961348
EPHB1	-7.0	0.011038961038961348
CD34	-9.0	0.011038961038961348
IER3	1.0	0.011038961038961348
HSP90AA1	9.0	-0.001839826839826586
ARG2	6.0	-0.00714285714285684
NUP210	4.0	-0.00714285714285684
DUSP1	-11.0	0.011038961038961348
NSMCE1	7.0	-0.00714285714285684
SETMAR	5.0	-0.00714285714285684
TRAF1	8.0	-0.00714285714285684
MTURN	9.0	-0.001839826839826586
HIC1	5.0	-0.00714285714285684
TRAF4	2.0	0.003463203463203668
CRY1	-7.0	0.011038961038961348
TIMELESS	7.0	-0.00714285714285684
MET	5.0	-0.00714285714285684
RTEL1	7.0	-0.00714285714285684
FBLN5	-10.0	0.011038961038961348
NPAS2	-2.0	0.011038961038961348
ARNTL	-4.0	0.011038961038961348
RNFT1	5.0	-0.00714285714285684
FUT8	8.0	-0.00714285714285684
BCLAF1	-8.0	0.011038961038961348
NUAK1	6.0	-0.00714285714285684
BCL2L11	4.0	-0.00714285714285684
HSPH1	6.0	-0.00714285714285684
RECQL5	6.0	-0.00714285714285684
CLEC7A	-7.0	0.011038961038961348
TP53BP1	7.0	-0.00714285714285684
LRIG2	-6.0	0.011038961038961348
TAF9B	9.0	-0.001839826839826586
HSPA5	-6.0	0.011038961038961348
EYA2	5.0	-0.00714285714285684
PYCR1	8.0	-0.00714285714285684
BFAR	3.0	0.003463203463203668
KLF4	-9.0	0.011038961038961348
ELL3	6.0	-0.00714285714285684
VEGFA	-4.0	0.011038961038961348
DNAJA1	4.0	-0.00714285714285684
RAD52	4.0	-0.00714285714285684
PER1	10.0	0.011038961038961348
ITCH	-6.0	0.011038961038961348
CXCL12	-11.0	0.011038961038961348
NR4A3	2.0	0.003463203463203668
BCL6	-10.0	0.011038961038961348
