Item ID	Item value	Change in Kuiper test statistic when item removed
TFRC	-1.0	0.006815968841285214
PPP1R10	4.0	-0.006004543979227617
AVIL	2.0	-0.006004543979227617
ZMYND8	6.0	-0.006004543979227506
FAM107A	-10.0	0.006815968841285269
CIB1	0.0	0.006815968841285214
FZD10	-4.0	0.006815968841285269
BRCA1	8.0	-0.006004543979227506
ENO2	-3.0	0.006815968841285269
TNF	3.0	-0.006004543979227617
ACTG1	8.0	-0.006004543979227506
ARHGAP44	11.0	0.006815968841285269
SDR16C5	5.0	-0.006004543979227506
FLCN	2.0	-0.006004543979227617
ING2	-6.0	0.006815968841285269
OPA1	-5.0	0.006815968841285269
PTTG1	-3.0	0.006815968841285269
GPER1	-7.0	0.006815968841285269
MYB	-4.0	0.006815968841285269
FBXO4	-6.0	0.006815968841285269
TAPT1	3.0	-0.006004543979227617
ACTR3	8.0	-0.006004543979227506
PDGFRA	9.0	0.006815968841285269
BNIP3L	-4.0	0.006815968841285269
RBM14	6.0	-0.006004543979227506
MKKS	3.0	-0.006004543979227617
DUSP1	-11.0	0.006815968841285269
TMOD4	4.0	-0.006004543979227617
PRKCE	-8.0	0.006815968841285269
SETMAR	5.0	-0.006004543979227506
PPHLN1	6.0	-0.006004543979227506
RNF41	-6.0	0.006815968841285269
EML3	5.0	-0.006004543979227506
NAV3	7.0	-0.006004543979227617
EVL	7.0	-0.006004543979227617
EPHA1	3.0	-0.006004543979227617
MET	5.0	-0.006004543979227506
S100A9	-2.0	0.006815968841285269
PHLDB2	2.0	-0.006004543979227617
KANK4	-9.0	0.006815968841285269
DCP2	4.0	-0.006004543979227617
KANK3	-5.0	0.006815968841285269
PFN2	-1.0	0.006815968841285214
L3MBTL1	5.0	-0.006004543979227506
PTGER4	3.0	-0.006004543979227617
CSF1R	5.0	-0.006004543979227506
PIF1	2.0	-0.006004543979227617
RTEL1	7.0	-0.006004543979227617
OMA1	6.0	-0.006004543979227506
ADRB2	8.0	-0.006004543979227506
STYXL1	6.0	-0.006004543979227506
AURKA	1.0	0.006815968841285214
LIMA1	3.0	-0.006004543979227617
BCL2L11	4.0	-0.006004543979227617
SLX4	4.0	-0.006004543979227617
VILL	7.0	-0.006004543979227617
PPARGC1A	-6.0	0.006815968841285269
MORC2	3.0	-0.006004543979227617
STOX1	-5.0	0.006815968841285269
CCT5	2.0	-0.006004543979227617
BRD4	-8.0	0.006815968841285269
ATF7IP	9.0	0.006815968841285269
CARMIL1	-3.0	0.006815968841285269
AUTS2	-6.0	0.006815968841285269
FZD5	-3.0	0.006815968841285269
PDE4DIP	6.0	-0.006004543979227506
DHODH	5.0	-0.006004543979227506
VEGFA	-4.0	0.006815968841285269
BST1	-3.0	0.006815968841285269
RAD50	4.0	-0.006004543979227617
RGCC	-7.0	0.006815968841285269
CXCL12	-11.0	0.006815968841285269
BCL6	-10.0	0.006815968841285269
FES	4.0	-0.006004543979227617
CENPJ	5.0	-0.006004543979227506
TRPV4	-3.0	0.006815968841285269
ID1	-1.0	0.006815968841285214
TEK	12.0	0.006815968841285269
CCL26	8.0	-0.006004543979227506
