Item ID	Item value	Change in Kuiper test statistic when item removed
BCAR3	-6.0	-0.0029049897470952435
DIRAS3	-6.0	-0.0029049897470952435
CD86	-12.0	0.010252904989746903
SLC27A1	7.0	0.010252904989746792
BMPR2	-8.0	-0.0029049897470952435
ITPRIP	-10.0	0.010252904989746903
TFRC	-1.0	-0.0029049897470953545
ITGB3	-8.0	-0.0029049897470952435
CIB1	0.0	-0.0029049897470952435
FZD10	-4.0	-0.0029049897470952435
VLDLR	-5.0	-0.0029049897470952435
TNF	3.0	-0.0029049897470952435
SPRED2	2.0	-0.0029049897470952435
FLCN	2.0	-0.0029049897470952435
RGS2	2.0	-0.0029049897470952435
GPER1	-7.0	-0.0029049897470952435
PMEPA1	-4.0	-0.0029049897470952435
CNPPD1	4.0	-0.0029049897470953545
DUSP2	1.0	-0.0029049897470952435
HSP90AA1	9.0	0.010252904989746792
RIPK3	4.0	-0.0029049897470953545
DUSP1	-11.0	0.010252904989746903
IGFBP3	-10.0	0.010252904989746903
PRKCE	-8.0	-0.0029049897470952435
PPP2R5B	4.0	-0.0029049897470953545
PRLR	-3.0	-0.0029049897470952435
DUSP6	1.0	-0.0029049897470952435
TGFBR2	-6.0	-0.0029049897470952435
CDC25B	2.0	-0.0029049897470952435
TRAF4	2.0	-0.0029049897470952435
DDIT4	-5.0	-0.0029049897470952435
CKS2	3.0	-0.0029049897470952435
ROR2	-5.0	-0.0029049897470952435
EPHA1	3.0	-0.0029049897470952435
GPRC5C	-2.0	-0.0029049897470953545
PFN2	-1.0	-0.0029049897470953545
CSF1R	5.0	0.010252904989746792
PELI2	-7.0	-0.0029049897470952435
ADCY4	-5.0	-0.0029049897470952435
LRP4	-4.0	-0.0029049897470952435
FBLN1	-11.0	0.010252904989746903
ADRB2	8.0	0.010252904989746792
MST1R	3.0	-0.0029049897470952435
FGD2	-8.0	-0.0029049897470952435
NTF4	7.0	0.010252904989746792
HPX	-8.0	-0.0029049897470952435
C5	8.0	0.010252904989746792
SERTAD1	3.0	-0.0029049897470952435
ERBB4	-9.0	0.010252904989746903
CLEC7A	-7.0	-0.0029049897470952435
SH3BP5	-3.0	-0.0029049897470952435
PPARGC1A	-6.0	-0.0029049897470952435
STOX1	-5.0	-0.0029049897470952435
HES5	3.0	-0.0029049897470952435
BRD4	-8.0	-0.0029049897470952435
ZBED3	-6.0	-0.0029049897470952435
TBX1	-5.0	-0.0029049897470952435
HEXIM2	6.0	0.010252904989746792
EGR1	0.0	-0.0029049897470952435
CDKN2B	3.0	-0.0029049897470952435
TGFB1	-1.0	-0.0029049897470953545
FZD5	-3.0	-0.0029049897470952435
BDNF	-6.0	-0.0029049897470952435
RARRES2	-9.0	0.010252904989746903
FN1	-9.0	0.010252904989746903
VEGFD	-6.0	-0.0029049897470952435
VEGFA	-4.0	-0.0029049897470952435
DNAJA1	4.0	-0.0029049897470953545
BST1	-3.0	-0.0029049897470952435
RAD50	4.0	-0.0029049897470953545
DBNDD2	7.0	0.010252904989746792
RGCC	-7.0	-0.0029049897470952435
SH3BP5L	4.0	-0.0029049897470953545
GHRL	-8.0	-0.0029049897470952435
TEK	12.0	0.010252904989746792
CALM1	-4.0	-0.0029049897470952435
MAP3K13	-4.0	-0.0029049897470952435
