Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	-5.0	0.04901960784313697
HSP90AA1	9.0	0.03186274509803899
SDF2L1	8.0	-0.00980392156862775
HSPA5	-6.0	0.04901960784313697
GOSR2	4.0	-0.00980392156862775
HSPB2	8.0	-0.00980392156862775
PPP2R5B	4.0	-0.00980392156862775
BFAR	3.0	0.03186274509803899
HSPA14	-7.0	0.04901960784313697
DNAJC18	4.0	-0.00980392156862775
HSPD1	5.0	-0.00980392156862775
DNAJA1	4.0	-0.00980392156862775
BCL2L11	4.0	-0.00980392156862775
HSPH1	6.0	-0.00980392156862775
CTH	4.0	-0.00980392156862775
CCL2	4.0	-0.00980392156862775
ERP27	7.0	-0.00980392156862775
ATF3	4.0	-0.00980392156862775
