Item ID	Item value	Change in Kuiper test statistic when item removed
PUS10	6.0	-0.0027752081406107187
RNASEL	6.0	-0.0027752081406107187
TXNL4B	2.0	0.017152328091273206
AARS2	6.0	-0.0027752081406107187
CSTF2	3.0	-0.0027752081406107187
RBM4B	5.0	-0.0027752081406107187
TRMT2A	3.0	-0.0027752081406107187
NOL9	4.0	-0.0027752081406107187
TMTC1	8.0	0.015340733888374869
TSEN2	4.0	-0.0027752081406107187
HNRNPLL	2.0	0.017152328091273206
TNF	3.0	-0.0027752081406107187
MRM1	4.0	-0.0027752081406107187
WDR46	3.0	-0.0027752081406107187
THG1L	6.0	-0.0027752081406107187
EXOSC7	-3.0	0.018963922294171764
RBM4	5.0	-0.0027752081406107187
HENMT1	7.0	0.015340733888374869
PPARGC1A	-6.0	0.018963922294171764
RBM5	4.0	-0.0027752081406107187
TRMT1L	5.0	-0.0027752081406107187
SNHG1	4.0	-0.0027752081406107187
TRMT10A	5.0	-0.0027752081406107187
RBM14	6.0	-0.0027752081406107187
NSUN5P1	6.0	-0.0027752081406107187
TRMT10B	4.0	-0.0027752081406107187
TGFB1	-1.0	0.018963922294171764
ZRANB2	5.0	-0.0027752081406107187
METTL1	6.0	-0.0027752081406107187
NSUN5	5.0	-0.0027752081406107187
INTS3	8.0	0.015340733888374869
BCDIN3D	3.0	-0.0027752081406107187
WDR75	-6.0	0.018963922294171764
USB1	6.0	-0.0027752081406107187
ELP6	6.0	-0.0027752081406107187
RPP25L	5.0	-0.0027752081406107187
WDR77	5.0	-0.0027752081406107187
MFAP1	4.0	-0.0027752081406107187
SNHG12	5.0	-0.0027752081406107187
ESRP1	-9.0	0.018963922294171764
RPUSD3	3.0	-0.0027752081406107187
TRMT13	4.0	-0.0027752081406107187
GEMIN6	4.0	-0.0027752081406107187
HNRNPH3	8.0	0.015340733888374869
PABPC1L	10.0	0.018963922294171986
INTS8	5.0	-0.0027752081406107187
SRSF7	6.0	-0.0027752081406107187
