Item ID	Item value	Change in Kuiper test statistic when item removed
DET1	4.0	-0.007070707070707283
PPP1R10	4.0	-0.007070707070707283
ITGB3	-8.0	0.011447811447811207
BRCA1	8.0	0.011447811447811318
DCAF7	3.0	-0.007070707070707283
NUDT4	-3.0	0.011447811447811207
ZMYM1	4.0	-0.007070707070707283
PTTG1	-3.0	0.011447811447811207
ADAMTS1	5.0	-0.007070707070707172
CDK20	4.0	-0.007070707070707283
LINC00339	5.0	-0.007070707070707172
PKNOX1	6.0	-0.007070707070707172
GTSE1	-3.0	0.011447811447811207
NUDT13	4.0	-0.007070707070707283
LMO4	3.0	-0.007070707070707283
SLC39A10	7.0	-0.0024410774410776326
ACYP1	4.0	-0.007070707070707283
TTC38	-2.0	0.011447811447811207
SAP30	0.0	0.011447811447811207
CDC25B	2.0	-0.002441077441077688
ARL4A	3.0	-0.007070707070707283
TMEM138	4.0	-0.007070707070707283
CKS2	3.0	-0.007070707070707283
LRIF1	2.0	-0.002441077441077688
RCCD1	4.0	-0.007070707070707283
DTL	-11.0	0.011447811447811207
SRSF7	6.0	-0.007070707070707172
MET	5.0	-0.007070707070707172
PIF1	2.0	-0.002441077441077688
NNMT	-11.0	0.011447811447811207
LRRC17	-8.0	0.011447811447811207
MEPCE	3.0	-0.007070707070707283
TRMT2A	3.0	-0.007070707070707283
HMGCR	6.0	-0.007070707070707172
AURKA	1.0	0.011447811447811207
BCLAF1	-8.0	0.011447811447811207
BRD8	4.0	-0.007070707070707283
FAM83D	6.0	-0.007070707070707172
A2M	-10.0	0.011447811447811207
CDR2	-6.0	0.011447811447811207
ATF7IP	9.0	0.011447811447811318
FANCI	-6.0	0.011447811447811207
AOC3	-7.0	0.011447811447811207
GINS2	9.0	0.011447811447811318
ZRANB2	5.0	-0.007070707070707172
RRM2	3.0	-0.007070707070707283
CCDC14	7.0	-0.0024410774410776326
MCAM	-4.0	0.011447811447811207
AP4B1	6.0	-0.007070707070707172
ZC3HC1	3.0	-0.007070707070707283
POLA1	11.0	0.011447811447811318
COL7A1	5.0	-0.007070707070707172
UBE2T	4.0	-0.007070707070707283
KLF9	-11.0	0.011447811447811207
DZIP3	7.0	-0.0024410774410776326
