Item ID	Item value	Change in Kuiper test statistic when item removed
AKNA	6.0	-0.002645502645502451
MTFP1	-1.0	-0.00264550264550234
SLC2A1	-6.0	0.00198412698412731
WDR46	3.0	-0.00264550264550234
HK2	-4.0	-0.00264550264550234
SEC14L2	-5.0	-0.00264550264550234
SEPT9	-3.0	-0.00264550264550234
HSD11B2	-5.0	-0.00264550264550234
MAT2A	5.0	-0.002645502645502562
TMEM104	4.0	-0.00264550264550234
NT5DC3	5.0	-0.002645502645502562
MYB	-4.0	-0.00264550264550234
CAMTA1	6.0	-0.002645502645502451
RAB11FIP3	5.0	-0.002645502645502562
C16ORF74	-4.0	-0.00264550264550234
PPARGC1B	-3.0	-0.00264550264550234
IER3	1.0	-0.00264550264550234
GINS2	9.0	0.03439153439153464
DUSP2	1.0	-0.00264550264550234
VWF	-6.0	0.00198412698412731
MYEOV	3.0	-0.00264550264550234
IFRD1	4.0	-0.00264550264550234
CBFA2T3	6.0	-0.002645502645502451
DHRS3	-5.0	-0.00264550264550234
UST	8.0	0.03439153439153464
CALM1	-4.0	-0.00264550264550234
ATF3	4.0	-0.00264550264550234
STX1A	4.0	-0.00264550264550234
