Item ID	Item value	Change in Kuiper test statistic when item removed
DIRAS3	-6.0	-0.0021312872975278174
TFRC	-1.0	-0.0021312872975278174
SCHIP1	3.0	-0.0021312872975278174
PIGP	6.0	-0.0021312872975278174
ADK	-5.0	-0.0021312872975278174
VLDLR	-5.0	-0.0021312872975278174
ENO2	-3.0	-0.0021312872975278174
SAT1	4.0	-0.0021312872975278174
GLS	-8.0	0.012574595055413362
RGS2	2.0	-0.0021312872975278174
OPA1	-5.0	-0.0021312872975278174
CHL1	12.0	0.012574595055413418
ANXA7	-4.0	-0.0021312872975278174
NEFH	12.0	0.012574595055413418
PGM1	-2.0	-0.0021312872975278174
ACTR3	8.0	0.012574595055413418
BNIP3L	-4.0	-0.0021312872975278174
HSP90AA1	9.0	0.012574595055413418
ALG8	6.0	-0.0021312872975278174
MKKS	3.0	-0.0021312872975278174
VWF	-6.0	-0.0021312872975278174
LMO4	3.0	-0.0021312872975278174
IFRD1	4.0	-0.0021312872975278174
ECH1	0.0	-0.0021312872975278174
TUBG2	2.0	-0.0021312872975278174
ACSL3	5.0	-0.0021312872975277064
RAD23B	-5.0	-0.0021312872975278174
DUSP6	1.0	-0.0021312872975278174
PREPL	7.0	-0.0021312872975278174
NOV	-6.0	-0.0021312872975278174
GORASP2	-6.0	-0.0021312872975278174
RFX5	4.0	-0.0021312872975278174
CKS2	3.0	-0.0021312872975278174
LETMD1	5.0	-0.0021312872975277064
MET	5.0	-0.0021312872975277064
STX1A	4.0	-0.0021312872975278174
PPID	4.0	-0.0021312872975278174
PFN2	-1.0	-0.0021312872975278174
PTGER4	3.0	-0.0021312872975278174
RTN2	7.0	-0.0021312872975278174
STOML1	4.0	-0.0021312872975278174
GMPR2	7.0	-0.0021312872975278174
ATP1A2	-9.0	0.012574595055413362
GLRX	5.0	-0.0021312872975277064
COPS7A	3.0	-0.0021312872975278174
HSPA14	-7.0	0.012574595055413362
KALRN	5.0	-0.0021312872975277064
NPAS2	-2.0	-0.0021312872975278174
HSPD1	5.0	-0.0021312872975277064
SOCS2	9.0	0.012574595055413418
LDHA	-3.0	-0.0021312872975278174
HSPH1	6.0	-0.0021312872975278174
ZNF706	6.0	-0.0021312872975278174
FLRT2	5.0	-0.0021312872975277064
CCT5	2.0	-0.0021312872975278174
DYNC1I1	-8.0	0.012574595055413362
GABBR1	6.0	-0.0021312872975278174
ZNF142	4.0	-0.0021312872975278174
HSPA5	-6.0	-0.0021312872975278174
CADPS	-4.0	-0.0021312872975278174
FN1	-9.0	0.012574595055413362
PDE4DIP	6.0	-0.0021312872975278174
VEGFA	-4.0	-0.0021312872975278174
DNAJA1	4.0	-0.0021312872975278174
RCAN2	-3.0	-0.0021312872975278174
PDCD2	7.0	-0.0021312872975278174
CALM1	-4.0	-0.0021312872975278174
C11ORF58	-5.0	-0.0021312872975278174
CDS2	-5.0	-0.0021312872975278174
