Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	-12.0	0.003813976377952777
DCLRE1C	5.0	-0.004060039370078705
FAM107A	-10.0	0.003813976377952777
TNC	-5.0	0.003813976377952777
CIB1	0.0	0.003813976377952777
IRS2	-12.0	0.003813976377952777
FZD10	-4.0	0.003813976377952777
DCAF7	3.0	-0.004060039370078705
AQP1	12.0	0.003813976377952777
TP53AIP1	5.0	-0.004060039370078705
GJA1	-4.0	0.003813976377952777
MT2A	-5.0	0.003813976377952777
DPYSL3	-5.0	0.003813976377952777
NEK1	7.0	-0.004060039370078705
DPF3	12.0	0.003813976377952777
PHLDA2	1.0	0.003813976377952777
GTSE1	-3.0	0.003813976377952777
GAMT	4.0	-0.004060039370078705
SP110	6.0	-0.004060039370078705
DAPK2	-3.0	0.003813976377952777
IFRD2	6.0	-0.004060039370078705
IFRD1	4.0	-0.004060039370078705
LIFR	-2.0	0.003813976377952777
ARMC8	-7.0	0.003813976377952777
PRLR	-3.0	0.003813976377952777
GEM	-10.0	0.003813976377952777
SAP30	0.0	0.003813976377952777
CDC25B	2.0	0.003813976377952777
CYP39A1	4.0	-0.004060039370078705
CH25H	5.0	-0.004060039370078705
ERF	1.0	0.003813976377952777
TIMELESS	7.0	-0.004060039370078705
COL8A2	-5.0	0.003813976377952777
FETUB	7.0	-0.004060039370078705
NAIP	5.0	-0.004060039370078705
EMID1	-3.0	0.003813976377952777
NNMT	-11.0	0.003813976377952777
ABCB6	6.0	-0.004060039370078705
NOTCH4	8.0	-0.004060039370078705
GSTT2	5.0	-0.004060039370078705
FBLN1	-11.0	0.003813976377952777
FUT2	5.0	-0.004060039370078705
SEC14L2	-5.0	0.003813976377952777
C5	8.0	-0.004060039370078705
CLEC7A	-7.0	0.003813976377952777
ST3GAL4	-6.0	0.003813976377952777
DPH5	6.0	-0.004060039370078705
H1FX	-8.0	0.003813976377952777
TRMT1L	5.0	-0.004060039370078705
NSUN5P1	6.0	-0.004060039370078705
CD163	-9.0	0.003813976377952777
TGFB1	-1.0	0.003813976377952777
H3F3B	-6.0	0.003813976377952777
RARRES2	-9.0	0.003813976377952777
ZBTB16	11.0	0.003813976377952777
IDH2	-2.0	0.003813976377952777
BFAR	3.0	-0.004060039370078705
FOXN3	-6.0	0.003813976377952777
COL1A2	-10.0	0.003813976377952777
SLC6A8	-1.0	0.003813976377952777
NR4A3	2.0	0.003813976377952777
BCL6	-10.0	0.003813976377952777
UST	8.0	-0.004060039370078705
SSPN	10.0	0.003813976377952777
CCDC22	5.0	-0.004060039370078705
LMBR1L	3.0	-0.004060039370078705
OGG1	5.0	-0.004060039370078705
HSPB2	8.0	-0.004060039370078705
SLC2A1	-6.0	0.003813976377952777
LAMC1	-5.0	0.003813976377952777
BRCA1	8.0	-0.004060039370078705
CHD1	-8.0	0.003813976377952777
HS2ST1	-3.0	0.003813976377952777
CASP9	6.0	-0.004060039370078705
SEPT9	-3.0	0.003813976377952777
ING2	-6.0	0.003813976377952777
CSRP2	3.0	-0.004060039370078705
CASP4	6.0	-0.004060039370078705
TRIM68	4.0	-0.004060039370078705
LRRFIP1	-7.0	0.003813976377952777
HIST1H1C	-8.0	0.003813976377952777
HSP90AA1	9.0	0.003813976377952777
ARG2	6.0	-0.004060039370078705
ARHGEF16	4.0	-0.004060039370078705
ELOVL6	11.0	0.003813976377952777
NAV2	7.0	-0.004060039370078705
ZDHHC11	-4.0	0.003813976377952777
IRF7	5.0	-0.004060039370078705
HNRNPH3	8.0	-0.004060039370078705
MET	5.0	-0.004060039370078705
CHST3	-3.0	0.003813976377952777
ZNF232	4.0	-0.004060039370078705
KDM3A	-4.0	0.003813976377952777
C1S	-7.0	0.003813976377952777
C1R	-9.0	0.003813976377952777
GOSR2	4.0	-0.004060039370078705
RBM4B	5.0	-0.004060039370078705
LRP4	-4.0	0.003813976377952777
HSD17B7	6.0	-0.004060039370078705
TSPAN31	9.0	0.003813976377952777
PSMC3IP	6.0	-0.004060039370078705
RXRB	3.0	-0.004060039370078705
MAT2A	5.0	-0.004060039370078705
ERBB4	-9.0	0.003813976377952777
CHRNA10	4.0	-0.004060039370078705
TBL1X	9.0	0.003813976377952777
LDLR	6.0	-0.004060039370078705
BRD4	-8.0	0.003813976377952777
APOL2	7.0	-0.004060039370078705
EGLN2	3.0	-0.004060039370078705
IL10RB	3.0	-0.004060039370078705
KCNJ14	-6.0	0.003813976377952777
AKR1C3	6.0	-0.004060039370078705
CYHR1	6.0	-0.004060039370078705
NAGA	6.0	-0.004060039370078705
SEMA4F	6.0	-0.004060039370078705
APTX	6.0	-0.004060039370078705
KLF2	5.0	-0.004060039370078705
DHODH	5.0	-0.004060039370078705
PER2	-11.0	0.003813976377952777
KLF7	8.0	-0.004060039370078705
PER1	10.0	0.003813976377952777
MYO15B	5.0	-0.004060039370078705
MFAP1	4.0	-0.004060039370078705
COL7A1	5.0	-0.004060039370078705
KLF9	-11.0	0.003813976377952777
ASB9	10.0	0.003813976377952777
SCLY	7.0	-0.004060039370078705
