Item ID	Item value	Change in Kuiper test statistic when item removed
TFRC	-1.0	0.020634920634920617
CDCA4	-8.0	0.020634920634920617
GMPR2	7.0	-0.007936507936507964
SLC35F5	8.0	-0.007936507936507964
WDR46	3.0	-0.007936507936507964
HSPD1	5.0	-0.007936507936507964
THG1L	6.0	-0.007936507936507964
AURKA	1.0	0.020634920634920617
HS2ST1	-3.0	0.020634920634920617
SEPT9	-3.0	0.020634920634920617
RBM4	5.0	-0.007936507936507964
UBXN8	7.0	-0.007936507936507964
DPH5	6.0	-0.007936507936507964
OIP5	6.0	-0.007936507936507964
GTSE1	-3.0	0.020634920634920617
CCT5	2.0	0.020634920634920617
PSPH	6.0	-0.007936507936507964
FANCI	-6.0	0.020634920634920617
GINS2	9.0	0.005158730158730085
RRM2	3.0	-0.007936507936507964
NUP210	4.0	-0.007936507936507964
ANGEL1	5.0	-0.007936507936507964
CAD	4.0	-0.007936507936507964
BFAR	3.0	-0.007936507936507964
ACSL3	5.0	-0.007936507936507964
TUBG1	3.0	-0.007936507936507964
NLE1	5.0	-0.007936507936507964
WDR77	5.0	-0.007936507936507964
CAPRIN1	-7.0	0.020634920634920617
CKS2	3.0	-0.007936507936507964
TIMELESS	7.0	-0.007936507936507964
B9D1	9.0	0.005158730158730085
CRELD1	6.0	-0.007936507936507964
DTL	-11.0	0.020634920634920617
DCP2	4.0	-0.007936507936507964
AARS	8.0	-0.007936507936507964
