Item ID	Item value	Change in Kuiper test statistic when item removed
TFRC	-1.0	0.00882450882450897
SERPINE2	-6.0	0.00882450882450897
PIGP	6.0	-0.0041625041625040216
CIB1	0.0	0.00882450882450897
LAMC1	-5.0	0.00882450882450897
JRKL	3.0	-0.0041625041625040216
ENO2	-3.0	0.00882450882450897
WDR46	3.0	-0.0041625041625040216
TNF	3.0	-0.0041625041625040216
ACTG1	8.0	-0.0041625041625040216
CASP9	6.0	-0.0041625041625040216
AP4M1	4.0	-0.0041625041625040216
RBM4	5.0	-0.0041625041625040216
RGS2	2.0	0.00882450882450897
MT2A	-5.0	0.00882450882450897
DBP	5.0	-0.0041625041625040216
DPYSL3	-5.0	0.00882450882450897
UBXN8	7.0	-0.0041625041625040216
JUNB	1.0	0.00882450882450897
ACTR3	8.0	-0.0041625041625040216
METTL1	6.0	-0.0041625041625040216
IFRD2	6.0	-0.0041625041625040216
CAD	4.0	-0.0041625041625040216
PLA2G4A	4.0	-0.0041625041625040216
AMPD2	3.0	-0.0041625041625040216
TUBG1	3.0	-0.0041625041625040216
SAP30	0.0	0.00882450882450897
CDC25B	2.0	0.00882450882450897
SLC5A6	5.0	-0.0041625041625040216
CH25H	5.0	-0.0041625041625040216
PEX6	6.0	-0.0041625041625040216
RFX5	4.0	-0.0041625041625040216
CKS2	3.0	-0.0041625041625040216
ERF	1.0	0.00882450882450897
PIGF	6.0	-0.0041625041625040216
MET	5.0	-0.0041625041625040216
SRSF7	6.0	-0.0041625041625040216
PPID	4.0	-0.0041625041625040216
ZNF234	4.0	-0.0041625041625040216
BIRC3	5.0	-0.0041625041625040216
LIPT1	4.0	-0.0041625041625040216
ABCB6	6.0	-0.0041625041625040216
NOTCH4	8.0	-0.0041625041625040216
SLC43A1	4.0	-0.0041625041625040216
ADAM22	4.0	-0.0041625041625040216
ATP1A2	-9.0	0.00882450882450897
MST1R	3.0	-0.0041625041625040216
HSPA14	-7.0	0.00882450882450897
STYXL1	6.0	-0.0041625041625040216
HSPD1	5.0	-0.0041625041625040216
RNFT1	5.0	-0.0041625041625040216
RXRB	3.0	-0.0041625041625040216
ARFRP1	4.0	-0.0041625041625040216
HSD11B2	-5.0	0.00882450882450897
LDHA	-3.0	0.00882450882450897
RECQL5	6.0	-0.0041625041625040216
MAT2A	5.0	-0.0041625041625040216
GMDS	12.0	0.00882450882450897
NFIL3	-6.0	0.00882450882450897
SERTAD1	3.0	-0.0041625041625040216
CCT5	2.0	0.00882450882450897
WNT10B	7.0	-0.0041625041625040216
GINS2	9.0	0.00882450882450897
ZNF142	4.0	-0.0041625041625040216
CDKN2B	3.0	-0.0041625041625040216
SDF2L1	8.0	-0.0041625041625040216
TGFB1	-1.0	0.00882450882450897
FZD5	-3.0	0.00882450882450897
NAGA	6.0	-0.0041625041625040216
PYCR1	8.0	-0.0041625041625040216
AP4B1	6.0	-0.0041625041625040216
DEF6	-2.0	0.00882450882450897
PER1	10.0	0.00882450882450897
MFAP1	4.0	-0.0041625041625040216
HOOK2	5.0	-0.0041625041625040216
BCL3	0.0	0.00882450882450897
SCLY	7.0	-0.0041625041625040216
NIT1	6.0	-0.0041625041625040216
