Item ID	Item value	Change in Kuiper test statistic when item removed
BNIP3L	-4.0	-0.018382352941176516
EGR1	0.0	0.044117647058823484
ZNF395	-5.0	-0.018382352941176516
IGFBP3	-10.0	0.044117647058823484
SLC2A1	-6.0	-0.018382352941176516
GLRX	5.0	0.044117647058823484
VLDLR	-5.0	-0.018382352941176516
ENO2	-3.0	-0.018382352941176516
HK2	-4.0	-0.018382352941176516
WISP2	-12.0	0.044117647058823484
VEGFA	-4.0	-0.018382352941176516
GJA1	-4.0	-0.018382352941176516
CSRP2	3.0	0.044117647058823484
STBD1	-6.0	-0.018382352941176516
PPFIA4	-3.0	-0.018382352941176516
PGM1	-2.0	0.023284313725490224
PDK1	-5.0	-0.018382352941176516
