Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	5.0	0.03157894736842093
DUSP1	-11.0	0.03157894736842104
MCAM	-4.0	-0.02105263157894738
ZBTB16	11.0	0.03157894736842093
KCNJ14	-6.0	-0.02105263157894738
SLC2A1	-6.0	-0.02105263157894738
ENO2	-3.0	-0.02105263157894749
C1ORF123	8.0	0.03157894736842093
VEGFA	-4.0	-0.02105263157894738
DNAJC18	4.0	0.03157894736842093
PER2	-11.0	0.03157894736842104
MT2A	-5.0	-0.02105263157894738
PPP1R3C	-5.0	-0.02105263157894738
KLF9	-11.0	0.03157894736842104
TMCC2	-3.0	-0.02105263157894749
PPFIA4	-3.0	-0.02105263157894749
C16ORF74	-4.0	-0.02105263157894738
CDR2	-6.0	-0.02105263157894738
PFN2	-1.0	0.03157894736842093
PDK1	-5.0	-0.02105263157894738
