Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	5.0	-0.014285714285714346
ABCB6	6.0	-0.014285714285714346
SP110	6.0	-0.014285714285714346
KCNJ13	6.0	-0.014285714285714346
ADAM22	4.0	-0.014285714285714346
SETMAR	5.0	-0.014285714285714346
PDE4DIP	6.0	-0.014285714285714346
SAT1	4.0	-0.014285714285714346
NUDT3	7.0	-0.014285714285714457
THAP1	4.0	-0.014285714285714346
ITCH	-6.0	0.05714285714285705
CA2	7.0	-0.014285714285714457
CAPRIN1	-7.0	0.05714285714285705
IRF7	5.0	-0.014285714285714346
CALM1	-4.0	0.05714285714285705
