Item ID	Item value	Change in Kuiper test statistic when item removed
PHF3	-4.0	0.015519568151146967
LIPT1	4.0	-0.010796221322537214
KDM3A	-4.0	0.015519568151146967
ZMYND8	6.0	-0.010796221322537214
MEPCE	3.0	-0.010796221322537214
TRAM2	-7.0	0.015519568151146967
AURKA	1.0	0.015519568151146967
GLS	-8.0	0.015519568151146967
ZMYM1	4.0	-0.010796221322537214
NUAK1	6.0	-0.010796221322537214
GJA1	-4.0	0.015519568151146967
FLRT2	5.0	-0.010796221322537214
TRIM5	7.0	-0.0064102564102562765
OIP5	6.0	-0.010796221322537214
BRD8	4.0	-0.010796221322537214
GTSE1	-3.0	0.015519568151146967
TRMT1L	5.0	-0.010796221322537214
PSPH	6.0	-0.010796221322537214
FZD2	-7.0	0.015519568151146967
SDF2L1	8.0	0.0045546558704454565
HSPA5	-6.0	0.015519568151146967
LUM	-10.0	0.015519568151146967
BDNF	-6.0	0.015519568151146967
LMO4	3.0	-0.010796221322537214
NFYB	4.0	-0.010796221322537214
PLA2G4A	4.0	-0.010796221322537214
PDE4DIP	6.0	-0.010796221322537214
ELOVL6	11.0	0.015519568151147078
ACYP1	4.0	-0.010796221322537214
FAM111A	9.0	0.015519568151147078
ARL4A	3.0	-0.010796221322537214
RAD50	4.0	-0.010796221322537214
ARMCX2	8.0	0.0045546558704454565
PER3	7.0	-0.0064102564102562765
ID1	-1.0	0.015519568151146967
DDIT4	-5.0	0.015519568151146967
CKS2	3.0	-0.010796221322537214
TUBGCP3	-7.0	0.015519568151146967
PIGF	6.0	-0.010796221322537214
