Item ID	Item value	Change in Kuiper test statistic when item removed
USP31	-6.0	0.0060240963855421326
BRCA1	8.0	0.0060240963855421326
TSEN2	4.0	-0.0061710255656773905
GABPB1	6.0	-0.0061710255656773905
MYOM2	7.0	-0.0010897247526693299
HK2	-4.0	0.0060240963855421326
NUDT4	-3.0	0.0060240963855421326
HS2ST1	-3.0	0.0060240963855421326
SPRED2	2.0	0.0060240963855421326
PTTG1	-3.0	0.0060240963855421326
MYB	-4.0	0.0060240963855421326
HMGB3P1	-4.0	0.0060240963855421326
TIMP3	10.0	0.0060240963855421326
DPF3	12.0	0.0060240963855421326
OIP5	6.0	-0.0061710255656773905
LINC00339	5.0	-0.0061710255656773905
GTSE1	-3.0	0.0060240963855421326
HSP90AA1	9.0	0.0060240963855421326
ARG2	6.0	-0.0061710255656773905
RBM14	6.0	-0.0061710255656773905
LMO4	3.0	-0.0010897247526692189
IFRD1	4.0	-0.0061710255656773905
ACYP1	4.0	-0.0061710255656773905
TUBG1	3.0	-0.0010897247526692189
THAP1	4.0	-0.0061710255656773905
SLC5A6	5.0	-0.0061710255656773905
GORASP2	-6.0	0.0060240963855421326
ESRP1	-9.0	0.006024096385542188
CDH12	10.0	0.0060240963855421326
TIMELESS	7.0	-0.0010897247526693299
ROR1	-12.0	0.006024096385542188
ZNF512	6.0	-0.0061710255656773905
DTL	-11.0	0.006024096385542188
FJX1	-6.0	0.0060240963855421326
PPID	4.0	-0.0061710255656773905
DCP2	4.0	-0.0061710255656773905
ZNF232	4.0	-0.0061710255656773905
AKNA	6.0	-0.0061710255656773905
SLC24A3	-7.0	0.006024096385542188
ABHD3	6.0	-0.0061710255656773905
CDCA4	-8.0	0.006024096385542188
OMA1	6.0	-0.0061710255656773905
METTL21A	4.0	-0.0061710255656773905
APCDD1	-7.0	0.006024096385542188
HSPD1	5.0	-0.0061710255656773905
AURKA	1.0	0.0060240963855421326
PSMC3IP	6.0	-0.0061710255656773905
BRIP1	-7.0	0.006024096385542188
HSPH1	6.0	-0.0061710255656773905
FLRT2	5.0	-0.0061710255656773905
MAT2A	5.0	-0.0061710255656773905
TAF1A	4.0	-0.0061710255656773905
FAM83D	6.0	-0.0061710255656773905
DYNC1I1	-8.0	0.006024096385542188
PPARGC1B	-3.0	0.0060240963855421326
CDR2	-6.0	0.0060240963855421326
FAM120AOS	6.0	-0.0061710255656773905
CBR3	2.0	0.0060240963855421326
FANCI	-6.0	0.0060240963855421326
CRYGS	3.0	-0.0010897247526692189
GINS2	9.0	0.0060240963855421326
RRM2	3.0	-0.0010897247526692189
ATAD5	-7.0	0.006024096385542188
NFYA	5.0	-0.0061710255656773905
NFYB	4.0	-0.0061710255656773905
CEP152	5.0	-0.0061710255656773905
VEGFA	-4.0	0.0060240963855421326
PER2	-11.0	0.006024096385542188
MAB21L3	4.0	-0.0061710255656773905
POLA1	11.0	0.0060240963855421326
FAM111A	9.0	0.0060240963855421326
BCL6	-10.0	0.006024096385542188
CTH	4.0	-0.0061710255656773905
CENPJ	5.0	-0.0061710255656773905
UBE2T	4.0	-0.0061710255656773905
POLE2	-7.0	0.006024096385542188
TUBGCP3	-7.0	0.006024096385542188
CALM1	-4.0	0.0060240963855421326
C11ORF58	-5.0	0.0060240963855421326
DNAL1	7.0	-0.0010897247526693299
ZNF354C	7.0	-0.0010897247526693299
PFKP	-3.0	0.0060240963855421326
AARS	8.0	0.0060240963855421326
