Item ID	Item value	Change in Kuiper test statistic when item removed
DHRS13	-4.0	-0.008249496981891313
SERPINE2	-6.0	-0.008249496981891313
TNFAIP6	-9.0	0.006036217303822977
USP31	-6.0	-0.008249496981891313
MPI	3.0	0.006036217303822922
SLC2A1	-6.0	-0.008249496981891313
IRS2	-12.0	0.006036217303822977
ENO2	-3.0	-0.008249496981891424
DCAF7	3.0	0.006036217303822922
RERG	5.0	0.006036217303822922
HK2	-4.0	-0.008249496981891313
FAM107B	-6.0	-0.008249496981891313
ACTG1	8.0	0.006036217303822922
THBD	7.0	0.006036217303822922
SPRED2	2.0	0.006036217303822922
ING2	-6.0	-0.008249496981891313
CSRP2	3.0	0.006036217303822922
STBD1	-6.0	-0.008249496981891313
DPYSL3	-5.0	-0.008249496981891313
PMEPA1	-4.0	-0.008249496981891313
OIP5	6.0	0.006036217303822922
PPFIA4	-3.0	-0.008249496981891424
PGM1	-2.0	0.006036217303822922
IER3	1.0	0.006036217303822922
PDK1	-5.0	-0.008249496981891313
HIST1H1C	-8.0	0.006036217303822977
BNIP3L	-4.0	-0.008249496981891313
PPTC7	-7.0	0.006036217303822922
DUSP1	-11.0	0.006036217303822977
IGFBP3	-10.0	0.006036217303822977
PPP2R5B	4.0	0.006036217303822922
ARID5A	4.0	0.006036217303822922
ANO6	-4.0	-0.008249496981891313
AMPD2	3.0	0.006036217303822922
SLC39A14	7.0	0.006036217303822922
SAP30	0.0	0.006036217303822922
CCDC80	-12.0	0.006036217303822977
SNHG12	5.0	0.006036217303822922
PPP1R3C	-5.0	-0.008249496981891313
NOV	-6.0	-0.008249496981891313
DDIT4	-5.0	-0.008249496981891313
FJX1	-6.0	-0.008249496981891313
DTL	-11.0	0.006036217303822977
KCTD15	5.0	0.006036217303822922
TSHZ3	-7.0	0.006036217303822922
ABCB6	6.0	0.006036217303822922
MTFP1	-1.0	0.006036217303822922
FUT11	-5.0	-0.008249496981891313
ACAT2	11.0	0.006036217303822922
ARNTL	-4.0	-0.008249496981891313
LDHA	-3.0	-0.008249496981891424
NUAK1	6.0	0.006036217303822922
NFIL3	-6.0	-0.008249496981891313
NHS	10.0	0.006036217303822922
SLC6A10P	1.0	0.006036217303822922
HIVEP2	-2.0	0.006036217303822922
APOL2	7.0	0.006036217303822922
FANCI	-6.0	-0.008249496981891313
TGFB1	-1.0	0.006036217303822922
H3F3B	-6.0	-0.008249496981891313
IRX3	7.0	0.006036217303822922
BFAR	3.0	0.006036217303822922
FOXN3	-6.0	-0.008249496981891313
KBTBD11	-6.0	-0.008249496981891313
DBNDD2	7.0	0.006036217303822922
SLC6A8	-1.0	0.006036217303822922
ZYX	7.0	0.006036217303822922
CALM1	-4.0	-0.008249496981891313
PFKP	-3.0	-0.008249496981891424
SLC26A6	6.0	0.006036217303822922
CDS2	-5.0	-0.008249496981891313
