Item ID	Item value	Change in Kuiper test statistic when item removed
CSRNP2	3.0	-0.007680491551459334
TFRC	-1.0	0.008448540706605168
USP31	-6.0	0.008448540706605168
MPI	3.0	-0.007680491551459334
TNFAIP2	0.0	0.008448540706605168
BRCA1	8.0	-0.004992319508448473
CHD1	-8.0	0.008448540706605168
WDR46	3.0	-0.007680491551459334
HK2	-4.0	0.008448540706605168
GJA1	-4.0	0.008448540706605168
ZMYM1	4.0	-0.007680491551459334
OPA1	-5.0	0.008448540706605168
WDR92	5.0	-0.007680491551459334
PHLDA2	1.0	0.008448540706605168
PSPH	6.0	-0.007680491551459334
HSP90AA1	9.0	0.008448540706605168
TNFRSF12A	0.0	0.008448540706605168
CAD	4.0	-0.007680491551459334
IFRD1	4.0	-0.007680491551459334
WDR75	-6.0	0.008448540706605168
HDHD2	6.0	-0.007680491551459334
RAD23B	-5.0	0.008448540706605168
WDR77	5.0	-0.007680491551459334
NAV3	7.0	-0.004992319508448473
CRY1	-7.0	0.008448540706605168
PGAM5	4.0	-0.007680491551459334
ROR1	-12.0	0.008448540706605168
GEMIN6	4.0	-0.007680491551459334
DTL	-11.0	0.008448540706605168
SRSF7	6.0	-0.007680491551459334
NGEF	-3.0	0.008448540706605168
PFN2	-1.0	0.008448540706605168
FKBP5	12.0	0.008448540706605168
RTEL1	7.0	-0.004992319508448473
PKDCC	6.0	-0.007680491551459334
CSTF2	3.0	-0.007680491551459334
NOL9	4.0	-0.007680491551459334
TMTC1	8.0	-0.004992319508448473
HMGCR	6.0	-0.007680491551459334
HSPA14	-7.0	0.008448540706605168
HSD17B7	6.0	-0.007680491551459334
HSPD1	5.0	-0.007680491551459334
AURKA	1.0	0.008448540706605168
PSMC3IP	6.0	-0.007680491551459334
FUT8	8.0	-0.004992319508448473
LDHA	-3.0	0.008448540706605168
HSPH1	6.0	-0.007680491551459334
MAT2A	5.0	-0.007680491551459334
DPH2	4.0	-0.007680491551459334
LDLR	6.0	-0.007680491551459334
CDR2	-6.0	0.008448540706605168
RRM2	3.0	-0.007680491551459334
SDF2L1	8.0	-0.004992319508448473
HSPA5	-6.0	0.008448540706605168
ATAD5	-7.0	0.008448540706605168
CYP51A1	10.0	0.008448540706605168
NLE1	5.0	-0.007680491551459334
DHODH	5.0	-0.007680491551459334
VEGFA	-4.0	0.008448540706605168
FAM111A	9.0	0.008448540706605168
GJB2	-3.0	0.008448540706605168
POLE2	-7.0	0.008448540706605168
ID1	-1.0	0.008448540706605168
