Item ID	Item value	Change in Kuiper test statistic when item removed
ORM1	2.0	-0.005590062111801353
CHIC2	5.0	-0.005590062111801242
TRAF3IP3	-4.0	0.008902691511387006
ITPRIP	-10.0	0.008902691511387006
DCLRE1C	5.0	-0.005590062111801242
TRADD	7.0	-0.005590062111801353
SLC2A1	-6.0	0.008902691511387006
BRCA1	8.0	0.008902691511387117
GABPB1	6.0	-0.005590062111801242
C1ORF74	-7.0	0.008902691511387006
CHD1	-8.0	0.008902691511387006
FAM107B	-6.0	0.008902691511387006
SPRED2	2.0	-0.005590062111801353
EPM2AIP1	3.0	-0.005590062111801353
RGS2	2.0	-0.005590062111801353
GPR171	6.0	-0.005590062111801242
EFCAB2	-6.0	0.008902691511387006
HIST1H1D	-10.0	0.008902691511387006
UBXN8	7.0	-0.005590062111801353
ANXA7	-4.0	0.008902691511387006
JUNB	1.0	0.007091097308488559
HIST1H1B	-10.0	0.008902691511387006
IER3	1.0	0.007091097308488559
PDK1	-5.0	0.008902691511387006
ARG2	6.0	-0.005590062111801242
ALG8	6.0	-0.005590062111801242
NUP210	4.0	-0.005590062111801353
CAD	4.0	-0.005590062111801353
SLC39A10	7.0	-0.005590062111801353
ARID5B	4.0	-0.005590062111801353
WDR31	5.0	-0.005590062111801242
ARMC8	-7.0	0.008902691511387006
TUBG1	3.0	-0.005590062111801353
WDR78	-7.0	0.008902691511387006
DUSP6	1.0	0.007091097308488559
TPST2	5.0	-0.005590062111801242
SLC5A6	5.0	-0.005590062111801242
MS4A6A	4.0	-0.005590062111801353
SLC9A9	10.0	0.008902691511387117
DDIT4	-5.0	0.008902691511387006
ERP27	7.0	-0.005590062111801353
LRIF1	2.0	-0.005590062111801353
TCTA	5.0	-0.005590062111801242
DNASE1	3.0	-0.005590062111801353
LETMD1	5.0	-0.005590062111801242
DTL	-11.0	0.008902691511387006
BIRC3	5.0	-0.005590062111801242
PTGER4	3.0	-0.005590062111801353
ADH1C	-9.0	0.008902691511387006
GSTT2	5.0	-0.005590062111801242
SLC41A1	5.0	-0.005590062111801242
ATP1A2	-9.0	0.008902691511387006
HSPH1	6.0	-0.005590062111801242
HIST1H3G	-7.0	0.008902691511387006
HIST1H3I	-7.0	0.008902691511387006
TBL1X	9.0	0.008902691511387117
KCNN4	-6.0	0.008902691511387006
HIST1H3C	-7.0	0.008902691511387006
CRYGS	3.0	-0.005590062111801353
EYA2	5.0	-0.005590062111801242
CADPS	-4.0	0.008902691511387006
BLCAP	0.0	0.008902691511386951
AP4B1	6.0	-0.005590062111801242
ELL3	6.0	-0.005590062111801242
KBTBD3	6.0	-0.005590062111801242
PER1	10.0	0.008902691511387117
HOOK2	5.0	-0.005590062111801242
NDUFAF3	7.0	-0.005590062111801353
PDCD2	7.0	-0.005590062111801353
DZIP3	7.0	-0.005590062111801353
