Item ID	Item value	Change in Kuiper test statistic when item removed
SLC23A3	5.0	-0.007278481012658322
DCLRE1A	3.0	-0.0072784810126581
DET1	4.0	-0.007278481012658211
TXNL4B	2.0	0.005379746835443122
DCLRE1C	5.0	-0.007278481012658322
ITPRIP	-10.0	0.005379746835443122
SMG9	3.0	-0.0072784810126581
C1ORF74	-7.0	0.005379746835443122
MED16	6.0	-0.007278481012658322
AP2A2	6.0	-0.007278481012658322
NUDT4	-3.0	0.005379746835443178
ACTG1	8.0	0.005379746835443011
AP4M1	4.0	-0.007278481012658211
GJA1	-4.0	0.005379746835443178
RGS2	2.0	0.005379746835443122
PODNL1	7.0	0.005379746835443011
PTTG1	-3.0	0.005379746835443178
EFCAB2	-6.0	0.005379746835443122
GPR171	6.0	-0.007278481012658322
UBXN8	7.0	0.005379746835443011
HIST1H1E	-8.0	0.005379746835443122
ANXA7	-4.0	0.005379746835443178
CNPPD1	4.0	-0.007278481012658211
JUNB	1.0	0.005379746835443178
HIST1H1B	-10.0	0.005379746835443122
RBM5	4.0	-0.007278481012658211
TAPT1	3.0	-0.0072784810126581
PDK1	-5.0	0.005379746835443122
EDARADD	-1.0	0.005379746835443178
ACTR3	8.0	0.005379746835443011
ARG2	6.0	-0.007278481012658322
ARL15	-11.0	0.005379746835443122
ECH1	0.0	0.005379746835443178
NSMCE1	7.0	0.005379746835443011
ARID5A	4.0	-0.007278481012658211
WDR31	5.0	-0.007278481012658322
RFX3	-9.0	0.005379746835443122
ARID5B	4.0	-0.007278481012658211
ARMC8	-7.0	0.005379746835443122
WDR78	-7.0	0.005379746835443122
TUBG1	3.0	-0.0072784810126581
DUSP6	1.0	0.005379746835443178
TGFBR2	-6.0	0.005379746835443122
TPST2	5.0	-0.007278481012658322
MS4A6A	4.0	-0.007278481012658211
ARL4A	3.0	-0.0072784810126581
PRR15L	2.0	0.005379746835443122
SLC9A9	10.0	0.005379746835443011
DDIT4	-5.0	0.005379746835443122
TCTA	5.0	-0.007278481012658322
STX1A	4.0	-0.007278481012658211
STOML1	4.0	-0.007278481012658211
ABCB6	6.0	-0.007278481012658322
ADH1C	-9.0	0.005379746835443122
TEX261	5.0	-0.007278481012658322
ATP1A2	-9.0	0.005379746835443122
METTL21A	4.0	-0.007278481012658211
ARHGAP15	4.0	-0.007278481012658211
HSPH1	6.0	-0.007278481012658322
GMDS	12.0	0.005379746835443011
SERTAD1	3.0	-0.0072784810126581
AMDHD1	9.0	0.005379746835443011
ST3GAL4	-6.0	0.005379746835443122
LRRC8C	-7.0	0.005379746835443122
HIST1H3G	-7.0	0.005379746835443122
TBL1X	9.0	0.005379746835443011
BRD8	4.0	-0.007278481012658211
HIST1H3I	-7.0	0.005379746835443122
KCNN4	-6.0	0.005379746835443122
HIST1H3C	-7.0	0.005379746835443122
MORC2	3.0	-0.0072784810126581
ATF7IP	9.0	0.005379746835443011
FANCI	-6.0	0.005379746835443122
TGFB1	-1.0	0.005379746835443178
H3F3B	-6.0	0.005379746835443122
TRPV2	5.0	-0.007278481012658322
AP4B1	6.0	-0.007278481012658322
DHRS3	-5.0	0.005379746835443122
RAD52	4.0	-0.007278481012658211
ITCH	-6.0	0.005379746835443122
