Item ID	Item value	Change in Kuiper test statistic when item removed
C11ORF74	7.0	-0.008695652173912993
GCDH	4.0	-0.008695652173912993
DCLRE1A	3.0	-0.008695652173912993
ZNF395	-5.0	0.013526570048309261
C8ORF48	5.0	-0.008695652173912993
TTC23	3.0	-0.008695652173912993
DCLRE1C	5.0	-0.008695652173912993
STOML1	4.0	-0.008695652173912993
TNFAIP6	-9.0	0.013526570048309261
ZMYND8	6.0	-0.008695652173912993
QPRT	8.0	-0.008695652173912993
MPI	3.0	-0.008695652173912993
AGPAT4	-7.0	0.013526570048309261
RBM4	5.0	-0.008695652173912993
LIMA1	3.0	-0.008695652173912993
RECQL5	6.0	-0.008695652173912993
ZKSCAN4	3.0	-0.008695652173912993
CYYR1	11.0	0.013526570048309261
A2M	-10.0	0.013526570048309261
NUDT13	4.0	-0.008695652173912993
NFE2	6.0	-0.008695652173912993
NICN1	6.0	-0.008695652173912993
ECH1	0.0	0.013526570048309206
TRPV2	5.0	-0.008695652173912993
PYCR1	8.0	-0.008695652173912993
FBXO15	3.0	-0.008695652173912993
LIFR	-2.0	0.013526570048309261
TRAF1	8.0	-0.008695652173912993
GNG11	-12.0	0.013526570048309261
DEF6	-2.0	0.013526570048309261
KRT72	-9.0	0.013526570048309261
SMUG1	6.0	-0.008695652173912993
ZC3HC1	3.0	-0.008695652173912993
RAD51B	-11.0	0.013526570048309261
FAM111A	9.0	0.013526570048309261
TPPP3	-5.0	0.013526570048309261
ARHGAP30	-8.0	0.013526570048309261
NRN1L	-8.0	0.013526570048309261
ELF3	-4.0	0.013526570048309261
KATNAL2	7.0	-0.008695652173912993
COL5A3	7.0	-0.008695652173912993
COL7A1	5.0	-0.008695652173912993
RFX5	4.0	-0.008695652173912993
SSPN	10.0	0.013526570048309261
GEMIN6	4.0	-0.008695652173912993
TEK	12.0	0.013526570048309261
