Item ID	Item value	Change in Kuiper test statistic when item removed
C11ORF74	7.0	-0.011586452762923471
DCLRE1A	3.0	-0.01158645276292336
GCDH	4.0	-0.01158645276292336
TTC23	3.0	-0.01158645276292336
C8ORF48	5.0	-0.011586452762923471
STOML1	4.0	-0.01158645276292336
DCLRE1C	5.0	-0.011586452762923471
TNFAIP6	-9.0	0.01871657754010697
ZMYND8	6.0	-0.01158645276292336
MPI	3.0	-0.01158645276292336
AGPAT4	-7.0	0.01871657754010697
TMEM100	11.0	0.018716577540106916
RBM4	5.0	-0.011586452762923471
LIMA1	3.0	-0.01158645276292336
RECQL5	6.0	-0.01158645276292336
ZKSCAN4	3.0	-0.01158645276292336
A2M	-10.0	0.01871657754010697
PPARGC1A	-6.0	0.01871657754010697
NUDT13	4.0	-0.01158645276292336
SOX5	12.0	0.018716577540106916
NICN1	6.0	-0.01158645276292336
ECH1	0.0	0.01871657754010697
PYCR1	8.0	0.018716577540106916
SMUG1	6.0	-0.01158645276292336
RAD51B	-11.0	0.01871657754010697
ZC3HC1	3.0	-0.01158645276292336
FAM111A	9.0	0.018716577540106916
NAV3	7.0	-0.011586452762923471
KATNAL2	7.0	-0.011586452762923471
SLC9A9	10.0	0.018716577540106916
RFX5	4.0	-0.01158645276292336
SSPN	10.0	0.018716577540106916
SPARCL1	-10.0	0.01871657754010697
GEMIN6	4.0	-0.01158645276292336
