Item ID	Item value	Change in Kuiper test statistic when item removed
COL15A1	-11.0	-0.007130124777183444
TNFAIP6	-9.0	-0.007130124777183444
COL13A1	-2.0	0.023172905525846832
TNC	-5.0	-0.007130124777183444
FBLN1	-11.0	-0.007130124777183444
LAMC2	-4.0	0.004233511586452798
LAMC1	-5.0	-0.007130124777183444
NID2	-7.0	-0.007130124777183444
CYR61	4.0	0.023172905525846832
FBLN5	-10.0	-0.007130124777183444
WISP2	-12.0	0.004233511586452687
PODNL1	7.0	0.023172905525846832
IGFBP7	-10.0	-0.007130124777183444
SLIT3	-11.0	-0.007130124777183444
VWF	-6.0	-0.007130124777183444
LUM	-10.0	-0.007130124777183444
IGFBP3	-10.0	-0.007130124777183444
LAMB4	-7.0	-0.007130124777183444
COL23A1	-8.0	-0.007130124777183444
FN1	-9.0	-0.007130124777183444
PRG2	-6.0	-0.007130124777183444
COLQ	-7.0	-0.007130124777183444
COL1A2	-10.0	-0.007130124777183444
MFAP1	4.0	0.023172905525846832
NOV	-6.0	-0.007130124777183444
COL5A3	7.0	0.023172905525846832
COL7A1	5.0	0.023172905525846832
MGP	-12.0	0.004233511586452687
COL8A2	-5.0	-0.007130124777183444
SPARCL1	-10.0	-0.007130124777183444
CRELD1	6.0	0.023172905525846832
IGFALS	-8.0	-0.007130124777183444
FMOD	-4.0	0.004233511586452798
EMID1	-3.0	0.023172905525846832
