Item ID	Item value	Change in Kuiper test statistic when item removed
TNFAIP6	-9.0	-0.005928853754940788
VWF	-6.0	-0.005928853754940788
IGFBP3	-10.0	-0.005928853754940788
LAMB4	-7.0	-0.005928853754940788
FN1	-9.0	-0.005928853754940788
TNC	-5.0	-0.005928853754940788
FBLN1	-11.0	-0.005928853754940788
LAMC2	-4.0	0.03194993412384717
LAMC1	-5.0	-0.005928853754940788
NID2	-7.0	-0.005928853754940788
COLQ	-7.0	-0.005928853754940788
CYR61	4.0	0.03952569169960474
FBLN5	-10.0	-0.005928853754940788
WISP2	-12.0	-0.005928853754940788
MFAP1	4.0	0.03952569169960474
NOV	-6.0	-0.005928853754940788
MGP	-12.0	-0.005928853754940788
SPARCL1	-10.0	-0.005928853754940788
IGFBP7	-10.0	-0.005928853754940788
SLIT3	-11.0	-0.005928853754940788
CRELD1	6.0	0.039525691699604626
IGFALS	-8.0	-0.005928853754940788
EMID1	-3.0	0.03573781291172584
