Item ID	Item value	Change in Kuiper test statistic when item removed
PHF3	-4.0	-0.0018648018648016462
DHRS13	-4.0	-0.0018648018648016462
ANKRD37	-5.0	-0.0018648018648016462
ZMYND8	6.0	-0.0018648018648018683
TNFAIP2	0.0	-0.0018648018648018683
VLDLR	-5.0	-0.0018648018648016462
FZD10	-4.0	-0.0018648018648016462
ENO2	-3.0	-0.0018648018648016462
PIGV	5.0	-0.0018648018648018683
AQP3	2.0	-0.0018648018648018683
RERG	5.0	-0.0018648018648018683
HK2	-4.0	-0.0018648018648016462
EPM2AIP1	3.0	-0.0018648018648016462
PODNL1	7.0	-0.0018648018648017572
JUNB	1.0	-0.0018648018648016462
PGM1	-2.0	-0.0018648018648016462
PSPH	6.0	-0.0018648018648018683
PDK1	-5.0	-0.0018648018648016462
BNIP3L	-4.0	-0.0018648018648016462
ARG2	6.0	-0.0018648018648018683
DUSP1	-11.0	0.013519813519813795
IGFBP3	-10.0	0.013519813519813795
SLC6A14	1.0	-0.0018648018648016462
ARID5B	4.0	-0.0018648018648018683
ELF3	-4.0	-0.0018648018648016462
ORAI3	-2.0	-0.0018648018648016462
FAM84A	5.0	-0.0018648018648018683
LETMD1	5.0	-0.0018648018648018683
S100A9	-2.0	-0.0018648018648016462
BIRC3	5.0	-0.0018648018648018683
ZNF395	-5.0	-0.0018648018648016462
KDM3A	-4.0	-0.0018648018648016462
MEGF6	6.0	-0.0018648018648018683
SLC24A3	-7.0	-0.0018648018648016462
C1S	-7.0	-0.0018648018648016462
CFH	-10.0	0.013519813519813795
GLRX	5.0	-0.0018648018648018683
APCDD1	-7.0	-0.0018648018648016462
HSPD1	5.0	-0.0018648018648018683
CYP4X1	-7.0	-0.0018648018648016462
BCL2L11	4.0	-0.0018648018648018683
GMDS	12.0	0.013519813519813684
NFIL3	-6.0	-0.0018648018648016462
RAB24	5.0	-0.0018648018648018683
HAS3	2.0	-0.0018648018648018683
NPTX1	7.0	-0.0018648018648017572
TBL1X	9.0	0.013519813519813684
TAF9B	9.0	0.013519813519813684
IL33	7.0	-0.0018648018648017572
ZRANB2	5.0	-0.0018648018648018683
HSPA5	-6.0	-0.0018648018648016462
LUM	-10.0	0.013519813519813795
IRX3	7.0	-0.0018648018648017572
CYHR1	6.0	-0.0018648018648018683
CARD6	6.0	-0.0018648018648018683
CYBRD1	7.0	-0.0018648018648017572
FOXN3	-6.0	-0.0018648018648016462
SNCAIP	-6.0	-0.0018648018648016462
VEGFA	-4.0	-0.0018648018648016462
SYT17	3.0	-0.0018648018648016462
GJB2	-3.0	-0.0018648018648016462
SLC6A8	-1.0	-0.0018648018648016462
BCL6	-10.0	0.013519813519813795
BCL3	0.0	-0.0018648018648018683
S100P	-3.0	-0.0018648018648016462
MAP3K13	-4.0	-0.0018648018648016462
