Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	8.0	-0.005952380952380765
TFRC	-1.0	0.009920634920634885
PIGP	6.0	-0.005952380952380987
BRCA1	8.0	-0.005952380952380765
FAM107B	-6.0	0.009920634920634885
CASP9	6.0	-0.005952380952380987
FOXQ1	-10.0	0.009920634920634885
PTTG1	-3.0	0.009920634920634885
OPA1	-5.0	0.009920634920634885
MYB	-4.0	0.009920634920634885
OIP5	6.0	-0.005952380952380987
SOX7	-5.0	0.009920634920634885
GTSE1	-3.0	0.009920634920634885
PSPH	6.0	-0.005952380952380987
PDGFRA	9.0	-0.005952380952380765
NUP210	4.0	-0.005952380952380987
ABCC5	6.0	-0.005952380952380987
CAD	4.0	-0.005952380952380987
ARHGEF16	4.0	-0.005952380952380987
ACYP1	4.0	-0.005952380952380987
NSUN7	-6.0	0.009920634920634885
TBC1D1	8.0	-0.005952380952380765
TIMELESS	7.0	-0.005952380952380876
GEMIN6	4.0	-0.005952380952380987
DTL	-11.0	0.009920634920634885
DCP2	4.0	-0.005952380952380987
ANKRD36B	-6.0	0.009920634920634885
FKBP5	12.0	0.009920634920635052
SEC22C	-2.0	0.009920634920634885
L3MBTL1	5.0	-0.005952380952380987
GMPR2	7.0	-0.005952380952380876
SRBD1	9.0	-0.005952380952380765
OMA1	6.0	-0.005952380952380987
AURKA	1.0	0.009920634920634885
BCLAF1	-8.0	0.009920634920634885
C5	8.0	-0.005952380952380765
DPH5	6.0	-0.005952380952380987
BRD8	4.0	-0.005952380952380987
TBL1X	9.0	-0.005952380952380765
FAM83D	6.0	-0.005952380952380987
CDR2	-6.0	0.009920634920634885
RAB11FIP4	-8.0	0.009920634920634885
FAM120AOS	6.0	-0.005952380952380987
NR2C2AP	4.0	-0.005952380952380987
RIBC2	6.0	-0.005952380952380987
FANCI	-6.0	0.009920634920634885
GINS2	9.0	-0.005952380952380765
RRM2	3.0	0.009920634920634885
NFYA	5.0	-0.005952380952380987
CCDC14	7.0	-0.005952380952380876
CYHR1	6.0	-0.005952380952380987
BFAR	3.0	0.009920634920634885
PPP2R3B	7.0	-0.005952380952380876
FOXN3	-6.0	0.009920634920634885
NLE1	5.0	-0.005952380952380987
TMEM98	12.0	0.009920634920635052
HOOK2	5.0	-0.005952380952380987
UBE2T	4.0	-0.005952380952380987
CENPJ	5.0	-0.005952380952380987
ASB9	10.0	0.009920634920635052
TUBGCP3	-7.0	0.009920634920634885
SCLY	7.0	-0.005952380952380876
RECK	7.0	-0.005952380952380876
DZIP3	7.0	-0.005952380952380876
