Item ID	Item value	Change in Kuiper test statistic when item removed
GALNT14	8.0	0.013008130081301084
CD83	4.0	-0.003658536585365746
SLC20A2	-6.0	0.021341463414634276
TFRC	-1.0	-0.003658536585365746
PTAFR	0.0	-0.003658536585365746
LAMC2	-4.0	0.013008130081300973
ADRB2	8.0	0.013008130081301084
MST1R	3.0	-0.003658536585365746
AQP3	2.0	-0.003658536585365746
LIMA1	3.0	-0.003658536585365746
THBD	7.0	-0.003658536585365635
RIMS3	12.0	0.021341463414634387
PLAU	0.0	-0.003658536585365746
CA2	7.0	-0.003658536585365635
P2RY2	-4.0	0.013008130081300973
CASP1	9.0	0.021341463414634387
TIMP3	10.0	0.021341463414634387
UPP1	-1.0	-0.003658536585365746
KCNN4	-6.0	0.021341463414634276
MPZL2	4.0	-0.003658536585365746
IER3	1.0	-0.003658536585365746
ST6GAL1	5.0	-0.003658536585365746
ARG2	6.0	-0.003658536585365746
IL4R	0.0	-0.003658536585365746
FZD5	-3.0	-0.003658536585365746
IRX4	-2.0	-0.003658536585365746
PLA2G4A	4.0	-0.003658536585365746
ARHGAP25	2.0	-0.003658536585365746
HS3ST1	-2.0	-0.003658536585365746
DUSP6	1.0	-0.003658536585365746
EPN3	4.0	-0.003658536585365746
SLC6A8	-1.0	-0.003658536585365746
HOOK2	5.0	-0.003658536585365746
NAV3	7.0	-0.003658536585365635
ESRP1	-9.0	0.021341463414634276
B3GNT3	-3.0	-0.003658536585365746
S100P	-3.0	-0.003658536585365746
EPHA1	3.0	-0.003658536585365746
S100A9	-2.0	-0.003658536585365746
S100A7	-3.0	-0.003658536585365746
BIRC3	5.0	-0.003658536585365746
