Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	-12.0	0.011447811447811207
PHF3	-4.0	0.011447811447811207
ZMYND8	6.0	-0.007070707070707116
TRADD	7.0	-0.007070707070707227
AP2A2	6.0	-0.007070707070707116
MED18	1.0	0.011447811447811207
RPGR	-6.0	0.011447811447811207
RCBTB2	5.0	-0.007070707070707116
CASP9	6.0	-0.007070707070707116
ZCWPW1	6.0	-0.007070707070707116
DBP	5.0	-0.007070707070707116
CSRP2	3.0	0.011447811447811207
PDK4	9.0	0.011447811447811207
PSPH	6.0	-0.007070707070707116
RBM5	4.0	-0.007070707070707338
TMEM8B	7.0	-0.007070707070707227
BNIP3L	-4.0	0.011447811447811207
KLF12	8.0	0.011447811447811207
ST6GAL1	5.0	-0.007070707070707116
SP110	6.0	-0.007070707070707116
TUBG2	2.0	0.011447811447811207
ACYP1	4.0	-0.007070707070707338
WDR78	-7.0	0.011447811447811207
THNSL2	4.0	-0.007070707070707338
TTC38	-2.0	0.011447811447811207
RNF41	-6.0	0.011447811447811207
EML3	5.0	-0.007070707070707116
BTD	7.0	-0.007070707070707227
PEX6	6.0	-0.007070707070707116
DDIT4	-5.0	0.011447811447811207
EVL	7.0	-0.007070707070707227
SLC25A4	-5.0	0.011447811447811207
GCDH	4.0	-0.007070707070707338
RTEL1	7.0	-0.007070707070707227
GOSR2	4.0	-0.007070707070707338
TSHZ2	-12.0	0.011447811447811207
GSTT2	5.0	-0.007070707070707116
GLRX	5.0	-0.007070707070707116
TSPAN31	9.0	0.011447811447811207
RXRB	3.0	0.011447811447811207
APOM	-2.0	0.011447811447811207
RCE1	7.0	-0.007070707070707227
RAB11FIP3	5.0	-0.007070707070707116
ATF7IP	9.0	0.011447811447811207
ZNF142	4.0	-0.007070707070707338
CYHR1	6.0	-0.007070707070707116
FN1	-9.0	0.011447811447811207
PDE4DIP	6.0	-0.007070707070707116
SEMA4F	6.0	-0.007070707070707116
DHODH	5.0	-0.007070707070707116
RAD50	4.0	-0.007070707070707338
SLC6A8	-1.0	0.011447811447811207
MYO15B	5.0	-0.007070707070707116
CTH	4.0	-0.007070707070707338
ADA	6.0	-0.007070707070707116
