Item ID	Item value	Change in Kuiper test statistic when item removed
DOCK4	8.0	0.02248677248677272
UBXN2B	5.0	-0.01455026455026448
RRAD	4.0	-0.014550264550264258
SCHIP1	3.0	-0.014550264550264258
SLC38A10	6.0	-0.014550264550264369
CHD1	-8.0	0.022486772486772777
SPRED2	2.0	-0.009920634920634663
ING2	-6.0	0.022486772486772777
ERBB4	-9.0	0.022486772486772777
PRKY	3.0	-0.014550264550264258
DPYSL3	-5.0	0.022486772486772777
CASP4	6.0	-0.014550264550264369
MYH11	-11.0	0.022486772486772777
OIP5	6.0	-0.014550264550264369
RAB11FIP3	5.0	-0.01455026455026448
RIBC2	6.0	-0.014550264550264369
ZNF143	6.0	-0.014550264550264369
RBM14	6.0	-0.014550264550264369
DUSP2	1.0	0.022486772486772777
IFRD2	6.0	-0.014550264550264369
ECH1	0.0	0.022486772486772777
ARID5A	4.0	-0.014550264550264258
PRSS16	5.0	-0.01455026455026448
DHRS3	-5.0	0.022486772486772777
NR4A3	2.0	-0.009920634920634663
TFCP2	7.0	0.02248677248677272
MED20	3.0	-0.014550264550264258
PFKP	-3.0	0.022486772486772777
