Item ID	Item value	Change in Kuiper test statistic when item removed
MAML2	-11.0	0.0036492374727667976
AVIL	2.0	-0.0037581699346406205
CEP19	2.0	-0.0037581699346406205
FZD10	-4.0	0.0036492374727667976
C1ORF74	-7.0	0.0036492374727667976
AADACL2	7.0	-0.0037581699346406205
ENDOU	-6.0	0.0036492374727667976
SESN3	2.0	-0.0037581699346406205
PDK4	9.0	0.0036492374727666865
SOX7	-5.0	0.0036492374727667976
NUDT13	4.0	-0.0037581699346406205
ZNF561	5.0	-0.0037581699346406205
BNIP3L	-4.0	0.0036492374727667976
ST6GAL1	5.0	-0.0037581699346406205
PRKCE	-8.0	0.0036492374727667976
IGFBP3	-10.0	0.0036492374727667976
IPMK	-7.0	0.0036492374727667976
OVOL1	2.0	-0.0037581699346406205
SYTL3	2.0	-0.0037581699346406205
SAP30	0.0	0.0036492374727667976
CCDC80	-12.0	0.0036492374727667976
RFX5	4.0	-0.0037581699346406205
ORAI3	-2.0	0.0036492374727667976
ZNF438	6.0	-0.0037581699346406205
ERF	1.0	0.003649237472766742
LRIF1	2.0	-0.0037581699346406205
CARD16	7.0	-0.0037581699346406205
PHLDB2	2.0	-0.0037581699346406205
ZSCAN29	3.0	-0.0037581699346406205
TSHZ2	-12.0	0.0036492374727667976
CCDC146	-5.0	0.0036492374727667976
KRCC1	5.0	-0.0037581699346406205
XKRX	5.0	-0.0037581699346406205
DBIL5P	-7.0	0.0036492374727667976
NUAK1	6.0	-0.0037581699346406205
C5	8.0	0.0036492374727666865
BCL2L11	4.0	-0.0037581699346406205
APOM	-2.0	0.0036492374727667976
FLRT2	5.0	-0.0037581699346406205
ZNF706	6.0	-0.0037581699346406205
ZNF701	3.0	-0.0037581699346406205
H1FX	-8.0	0.0036492374727667976
HIST1H3I	-7.0	0.0036492374727667976
ZKSCAN4	3.0	-0.0037581699346406205
FAM83D	6.0	-0.0037581699346406205
FZD2	-7.0	0.0036492374727667976
BDNF	-6.0	0.0036492374727667976
INTS3	8.0	0.0036492374727666865
ZBTB16	11.0	0.0036492374727666865
FN1	-9.0	0.0036492374727667976
FBXO36	-6.0	0.0036492374727667976
EXOC6B	12.0	0.0036492374727666865
CYBRD1	7.0	-0.0037581699346406205
FOXN3	-6.0	0.0036492374727667976
NBEA	-6.0	0.0036492374727667976
BCL6	-10.0	0.0036492374727667976
UST	8.0	0.0036492374727666865
CORO6	-6.0	0.0036492374727667976
DNAL1	7.0	-0.0037581699346406205
DZIP3	7.0	-0.0037581699346406205
MXD3	-8.0	0.0036492374727667976
CNTNAP3	-6.0	0.0036492374727667976
C2ORF42	5.0	-0.0037581699346406205
TNFAIP2	0.0	0.0036492374727667976
HSCB	4.0	-0.0037581699346406205
HK2	-4.0	0.0036492374727667976
MYOM2	7.0	-0.0037581699346406205
RPGR	-6.0	0.0036492374727667976
TMEM100	11.0	0.0036492374727666865
FLCN	2.0	-0.0037581699346406205
EPM2AIP1	3.0	-0.0037581699346406205
CA2	7.0	-0.0037581699346406205
STBD1	-6.0	0.0036492374727667976
EFCAB2	-6.0	0.0036492374727667976
PMEPA1	-4.0	0.0036492374727667976
TIMP3	10.0	0.0036492374727666865
HIST1H1E	-8.0	0.0036492374727667976
BBS7	-12.0	0.0036492374727667976
RBM5	4.0	-0.0037581699346406205
DENND2D	6.0	-0.0037581699346406205
OVGP1	-5.0	0.0036492374727667976
ARG2	6.0	-0.0037581699346406205
TIGD7	2.0	-0.0037581699346406205
TTC32	-7.0	0.0036492374727667976
C3ORF62	-10.0	0.0036492374727667976
NAV2	7.0	-0.0037581699346406205
ZDHHC11	-4.0	0.0036492374727667976
BTN3A2	6.0	-0.0037581699346406205
SORCS2	-7.0	0.0036492374727667976
EPN3	4.0	-0.0037581699346406205
MS4A6A	4.0	-0.0037581699346406205
LRTOMT	4.0	-0.0037581699346406205
NAV3	7.0	-0.0037581699346406205
DNASE2	1.0	0.003649237472766742
ZNF512	6.0	-0.0037581699346406205
ASPA	7.0	-0.0037581699346406205
SLC29A3	4.0	-0.0037581699346406205
ZNF234	4.0	-0.0037581699346406205
CHST3	-3.0	0.0036492374727667976
RNASEL	6.0	-0.0037581699346406205
KDM3A	-4.0	0.0036492374727667976
C1R	-9.0	0.0036492374727667976
ZBTB49	3.0	-0.0037581699346406205
C4ORF36	6.0	-0.0037581699346406205
ATP1A2	-9.0	0.0036492374727667976
GLRX	5.0	-0.0037581699346406205
NFIL3	-6.0	0.0036492374727667976
CLMN	-4.0	0.0036492374727667976
FAM184A	1.0	0.003649237472766742
TMEM206	5.0	-0.0037581699346406205
NHS	10.0	0.0036492374727666865
CHRNA10	4.0	-0.0037581699346406205
SLIT3	-11.0	0.0036492374727667976
BRD8	4.0	-0.0037581699346406205
C11ORF45	7.0	-0.0037581699346406205
HES5	3.0	-0.0037581699346406205
ZNF222	3.0	-0.0037581699346406205
APOL2	7.0	-0.0037581699346406205
