Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	15.0	-0.011029411764705843
BNIP3L	16.0	-0.011029411764705843
EGR1	20.0	0.011159937347720139
ZNF395	14.0	-0.011029411764705843
CAV1	3.0	0.05147058823529416
IGFBP3	9.0	0.05147058823529416
SLC2A1	14.0	-0.011029411764705843
ADM	14.0	-0.011029411764705843
VLDLR	15.0	-0.011029411764705843
ENO2	17.0	-0.011029411764705843
HK2	15.0	-0.011029411764705843
VEGFA	16.0	-0.011029411764705843
CSRP2	23.0	0.05147058823529416
STBD1	14.0	-0.011029411764705843
PPFIA4	17.0	-0.011029411764705843
PGM1	18.0	-0.011029411764705843
PDK1	15.0	-0.011029411764705843
