Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	13.0	0.049707602339181145
ERO1A	3.0	-0.005847953216374435
CAV3	19.0	-0.005847953216374435
DUSP1	21.0	-0.005847953216374435
MCAM	3.0	-0.005847953216374435
ZBTB16	19.0	-0.005847953216374435
KCNJ14	2.0	-0.005847953216374435
SLC2A1	2.0	-0.005847953216374435
ENO2	5.0	-0.005847953216374435
VEGFA	4.0	-0.005847953216374435
DNAJC18	12.0	0.049707602339181145
PER2	21.0	-0.005847953216374435
PPP1R3C	3.0	-0.005847953216374435
KLF9	20.0	-0.005847953216374435
TMCC2	4.0	-0.005847953216374435
PPFIA4	5.0	-0.005847953216374435
C16ORF74	4.0	-0.005847953216374435
CDR2	1.0	-0.005847953216374435
PDK1	3.0	-0.005847953216374435
