Item ID	Item value	Change in Kuiper test statistic when item removed
CYP2J2	13.0	-0.009803921568627527
ORM1	6.0	0.04901960784313719
NNMT	17.0	-0.009803921568627527
CFH	18.0	-0.009803921568627527
C1S	-4.0	0.01390598080236316
C1R	19.0	-0.009803921568627527
RARRES2	19.0	-0.009803921568627527
SORD	18.0	-0.009803921568627527
HP	14.0	-0.009803921568627527
DHCR24	12.0	-0.009803921568627527
SLC39A14	11.0	0.0031996062023135208
CYP2C18	13.0	-0.009803921568627527
HPX	20.0	-0.009803921568627527
RBM4	9.0	0.04901960784313719
C5	11.0	0.0031996062023135208
AZGP1	9.0	0.04901960784313719
AADAC	12.0	-0.009803921568627527
HMGCS2	13.0	-0.009803921568627527
