Item ID	Item value	Change in Kuiper test statistic when item removed
DHRS13	3.0	-0.006211180124223614
SERPINE2	1.0	-0.006211180124223614
TNFAIP6	22.0	0.008281573498964745
USP31	2.0	-0.006211180124223614
GALNT18	3.0	-0.006211180124223614
JPT2	14.0	0.008281573498964745
MPI	11.0	0.008281573498964745
RRP1	8.0	-0.006211180124223614
SLC2A1	2.0	-0.006211180124223614
IRS2	20.0	0.008281573498964745
ENO2	5.0	-0.006211180124223614
DCAF7	11.0	0.008281573498964745
HK2	3.0	-0.006211180124223614
FAM107B	2.0	-0.006211180124223614
ACTG1	16.0	0.008281573498964745
THBD	14.0	0.008281573498964745
ING2	2.0	-0.006211180124223614
CSRP2	11.0	0.008281573498964745
GPER1	1.0	-0.006211180124223614
STBD1	2.0	-0.006211180124223614
DPYSL3	3.0	-0.006211180124223614
PMEPA1	4.0	-0.006211180124223614
OIP5	14.0	0.008281573498964745
PPFIA4	5.0	-0.006211180124223614
PGM1	6.0	-0.006211180124223614
IER3	8.0	-0.006211180124223614
PDK1	3.0	-0.006211180124223614
BNIP3L	4.0	-0.006211180124223614
PPTC7	1.0	-0.006211180124223614
ITGA3	9.0	-0.0039575222641585195
DUSP1	21.0	0.008281573498964745
IGFBP3	21.0	0.008281573498964745
PPP2R5B	12.0	0.008281573498964745
ARID5A	12.0	0.008281573498964745
ANO6	4.0	-0.006211180124223614
AMPD2	11.0	0.008281573498964745
SLC39A14	15.0	0.008281573498964745
SAP30	8.0	-0.006211180124223614
CCDC80	20.0	0.008281573498964745
SNHG12	12.0	0.008281573498964745
PPP1R3C	3.0	-0.006211180124223614
DDIT4	3.0	-0.006211180124223614
FJX1	2.0	-0.006211180124223614
KCTD15	13.0	0.008281573498964745
ABCB6	14.0	0.008281573498964745
MTFP1	7.0	-0.006211180124223614
FUT11	2.0	-0.006211180124223614
ARNTL	4.0	-0.006211180124223614
LDHA	5.0	-0.006211180124223614
NUAK1	14.0	0.008281573498964745
DRAM1	14.0	0.008281573498964745
HNRNPDL	1.0	-0.006211180124223614
NFIL3	1.0	-0.006211180124223614
NHS	18.0	0.008281573498964745
SLC6A10P	9.0	-0.0039575222641585195
APOL2	15.0	0.008281573498964745
TGFB1	7.0	-0.006211180124223614
IRX3	15.0	0.008281573498964745
BFAR	11.0	0.008281573498964745
FOXN3	2.0	-0.006211180124223614
CCDC9B	14.0	0.008281573498964745
KBTBD11	1.0	-0.006211180124223614
DBNDD2	14.0	0.008281573498964745
SLC6A8	7.0	-0.006211180124223614
LHFPL6	23.0	0.008281573498964745
ZYX	15.0	0.008281573498964745
CALM1	4.0	-0.006211180124223614
PFKP	5.0	-0.006211180124223614
SLC26A6	13.0	0.008281573498964745
CDS2	2.0	-0.006211180124223614
