Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	3.0	-0.020467836257310135
BNIP3L	4.0	-0.020467836257309913
KDM3A	4.0	-0.020467836257309913
ANKRD37	3.0	-0.020467836257310135
CLPB	13.0	0.03508771929824539
ABCB6	14.0	0.03508771929824539
GOSR2	12.0	0.03508771929824539
FUT11	2.0	-0.020467836257309913
KIAA2013	2.0	-0.020467836257309913
ENO2	5.0	-0.020467836257310024
KLF4	22.0	0.03508771929824539
HK2	3.0	-0.020467836257310135
VEGFA	4.0	-0.020467836257309913
KLF7	16.0	0.03508771929824539
PPP1R3C	3.0	-0.020467836257310135
NFIL3	1.0	0.03508771929824561
PPFIA4	5.0	-0.020467836257310024
ATF3	12.0	0.03508771929824539
PDK1	3.0	-0.020467836257310135
