Item ID	Item value	Change in Kuiper test statistic when item removed
RASL11B	7.0	0.023655913978494536
ITGB3	-4.0	-0.00967741935483879
TNC	-2.0	-0.00967741935483879
SLC2A1	-2.0	-0.00967741935483879
HK2	-1.0	-0.00967741935483879
ARNTL	0.0	-0.00967741935483879
SOCS2	13.0	0.023655913978494536
NTF4	10.0	0.023655913978494536
NUAK1	10.0	0.023655913978494536
NFIL3	-3.0	-0.00967741935483879
GPER1	-3.0	-0.00967741935483879
LRRC8C	-4.0	-0.00967741935483879
TIMP3	14.0	0.023655913978494536
PMEPA1	0.0	-0.00967741935483879
LRRFIP1	-3.0	-0.00967741935483879
JUNB	5.0	-0.00967741935483879
IER3	4.0	-0.00967741935483879
TGFB1	3.0	-0.00967741935483879
TNFRSF12A	4.0	-0.00967741935483879
MCAM	-1.0	-0.00967741935483879
GFPT2	-2.0	-0.00967741935483879
PDE4DIP	10.0	0.023655913978494536
DUSP6	5.0	-0.00967741935483879
VEGFA	0.0	-0.00967741935483879
HEYL	11.0	0.023655913978494536
GJB2	0.0	-0.00967741935483879
CTH	8.0	0.023655913978494536
CRY1	-3.0	-0.00967741935483879
COL8A2	-1.0	-0.00967741935483879
FJX1	-2.0	-0.00967741935483879
FKBP5	16.0	0.023655913978494536
