Item ID	Item value	Change in Kuiper test statistic when item removed
CFH	22.0	-0.014285714285714457
KLK1	16.0	0.026160589758915997
DUSP1	21.0	-0.014285714285714568
IGFBP3	21.0	-0.014285714285714568
HP	18.0	-0.014285714285714346
IRS2	20.0	-0.014285714285714346
TFCP2L1	23.0	0.009424188085275897
SAT1	12.0	0.05714285714285716
PER2	21.0	-0.014285714285714568
C1QTNF3	20.0	-0.014285714285714346
BCL2L11	12.0	0.05714285714285716
BCL6	22.0	-0.014285714285714457
KLF9	20.0	-0.014285714285714346
PDK4	17.0	-0.014285714285714346
ZSCAN26	12.0	0.05714285714285716
