Item ID	Item value	Change in Kuiper test statistic when item removed
CCDC167	17.0	0.009920634920634885
PLVAP	22.0	0.009920634920634885
TFRC	7.0	0.009920634920634941
CPQ	23.0	0.009920634920634885
GALNT18	3.0	0.009920634920634941
LAMC1	3.0	0.009920634920634941
C1ORF74	1.0	0.009920634920634941
EPM2AIP1	11.0	-0.005952380952380931
BIVM	12.0	-0.005952380952380931
VWF	1.0	0.009920634920634941
DESI1	15.0	-0.005952380952380931
TTC32	1.0	0.009920634920634941
IFRD2	14.0	-0.005952380952380931
ELOVL6	19.0	0.009920634920634885
ANO6	4.0	0.009920634920634941
BTN3A2	13.0	-0.005952380952380931
RFX5	12.0	-0.005952380952380931
CRY1	1.0	0.009920634920634941
TIMELESS	15.0	-0.005952380952380931
CKS2	11.0	-0.005952380952380931
SPARCL1	22.0	0.009920634920634885
GEMIN6	12.0	-0.005952380952380931
SLC25A4	3.0	0.009920634920634941
XPR1	14.0	-0.005952380952380931
PPID	12.0	-0.005952380952380931
FKBP5	20.0	0.009920634920634885
AARS2	14.0	-0.005952380952380931
SATB2	16.0	-0.005952380952380931
CSTF2	10.0	0.009920634920634941
NDUFA4L2	10.0	0.009920634920634941
NEDD4L	15.0	-0.005952380952380931
RBM4B	12.0	-0.005952380952380931
HSPA14	1.0	0.009920634920634941
AURKA	9.0	0.009920634920634941
SEC14L2	3.0	0.009920634920634941
WDCP	11.0	-0.005952380952380931
DRAM1	14.0	-0.005952380952380931
HSPH1	13.0	-0.005952380952380931
GMDS	20.0	0.009920634920634885
AMDHD1	16.0	-0.005952380952380931
DPH5	14.0	-0.005952380952380931
SLC38A9	13.0	-0.005952380952380931
CYYR1	18.0	0.009920634920634885
FAM83D	14.0	-0.005952380952380931
TRMT1L	13.0	-0.005952380952380931
CDR2	1.0	0.009920634920634941
FAM120AOS	14.0	-0.005952380952380931
NR2C2AP	12.0	-0.005952380952380931
GINS2	16.0	-0.005952380952380931
SDF2L1	16.0	-0.005952380952380931
IL10RB	11.0	-0.005952380952380931
IRX3	15.0	-0.005952380952380931
AKR1C3	14.0	-0.005952380952380931
ADAT1	11.0	-0.005952380952380931
NAGA	14.0	-0.005952380952380931
CYBRD1	14.0	-0.005952380952380931
BFAR	11.0	-0.005952380952380931
TEF	15.0	-0.005952380952380931
MFAP1	11.0	-0.005952380952380931
UBE2T	12.0	-0.005952380952380931
CYSTM1	2.0	0.009920634920634941
SFXN2	14.0	-0.005952380952380931
SLC26A6	13.0	-0.005952380952380931
HSPA1A	13.0	-0.005952380952380931
