Item ID	Item value	Change in Kuiper test statistic when item removed
DOCK4	4.0	-0.00952380952380949
MPP3	1.0	-0.00952380952380949
NPR2	5.0	-0.00952380952380949
CYHR1	2.0	-0.00952380952380949
HGH1	1.0	-0.00952380952380949
EPN3	0.0	-0.00952380952380949
PSMC3IP	2.0	-0.00952380952380949
AP4M1	24.0	-0.00952380952380949
ARFRP1	0.0	-0.00952380952380949
DBP	1.0	-0.00952380952380949
CABYR	5.0	-0.00952380952380949
GPER1	13.0	0.06190476190476191
ID1	18.0	0.06190476190476191
PDK4	5.0	-0.00952380952380949
TMEM8B	3.0	-0.00952380952380949
