Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	10.0	0.01771871539313402
BCAR3	-2.0	-0.02990033222591365
CLIC5	10.0	0.01771871539313402
C1S	-4.0	-0.02990033222591365
C1R	19.0	0.01771871539313402
SCHIP1	7.0	-0.006090808416389815
CBLB	10.0	0.01771871539313402
ADM	-2.0	-0.02990033222591365
PHYHIP	9.0	0.01771871539313402
AQP3	6.0	-0.006090808416389815
TRAM2	-2.0	-0.02990033222591365
ACTG1	12.0	0.01771871539313402
DPP6	-1.0	-0.017995570321151733
FLRT2	9.0	0.01771871539313402
GMDS	16.0	0.01771871539313402
HNRNPDL	-3.0	-0.02990033222591365
ERBB4	19.0	0.01771871539313402
DPYSL3	-1.0	-0.017995570321151733
CASP1	13.0	0.01771871539313402
IGFBP7	18.0	0.01771871539313402
PPFIA4	1.0	-0.006090808416389815
PRKACB	0.0	-0.012043189368770635
HSP90AA1	13.0	0.01771871539313402
HSPA5	-3.0	-0.02990033222591365
ITGA3	5.0	-0.006090808416389815
DUSP1	17.0	0.01771871539313402
RARRES2	19.0	0.01771871539313402
CYP51A1	14.0	0.01771871539313402
PDE4DIP	10.0	0.01771871539313402
ARID5B	8.0	0.01771871539313402
ACSL3	8.0	0.01771871539313402
RAD23B	-2.0	-0.02990033222591365
KBTBD11	-3.0	-0.02990033222591365
COLQ	-3.0	-0.02990033222591365
VEGFA	0.0	-0.012043189368770635
DNAJA1	8.0	0.01771871539313402
KLHL9	8.0	0.01771871539313402
PREPL	11.0	0.01771871539313402
ARMCX2	11.0	0.01771871539313402
PALLD	-3.0	-0.02990033222591365
TYRO3	11.0	0.01771871539313402
LETMD1	9.0	0.01771871539313402
BIRC3	9.0	0.01771871539313402
