Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	13.0	-0.0016650016650014976
CNTNAP3	2.0	-5.827505827505353E-4
DPAGT1	13.0	-0.0016650016650014976
JPT1	13.0	-0.0016650016650014976
DCLRE1C	13.0	-0.0016650016650014976
RASL11B	11.0	-0.0016650016650014976
CETN3	12.0	-0.0016650016650014976
TNC	2.0	-5.827505827505353E-4
FZD10	3.0	-5.827505827505353E-4
VLDLR	3.0	-5.827505827505353E-4
CCT6B	3.0	-5.827505827505353E-4
CASP9	14.0	-0.0016650016650014976
RBM4	13.0	-0.0016650016650014976
EPM2AIP1	11.0	-0.0016650016650014976
CA2	15.0	0.001040626040626158
DPYSL3	3.0	-5.827505827505353E-4
OIP5	14.0	-0.0016650016650014976
ZNF202	11.0	-0.0016650016650014976
ZNF436-AS1	7.0	-5.827505827505353E-4
RBM14	14.0	-0.0016650016650014976
TLE2	16.0	0.011322011322011494
TNFRSF12A	8.0	-5.827505827505353E-4
IGFBP3	21.0	0.011322011322011494
ARID5B	12.0	-0.0016650016650014976
TUBG1	10.0	-5.827505827505353E-4
VRK3	12.0	-0.0016650016650014976
TRPC4AP	4.0	-5.827505827505353E-4
DUSP6	9.0	-5.827505827505353E-4
WDR77	13.0	-0.0016650016650014976
THAP1	12.0	-0.0016650016650014976
MED23	2.0	-5.827505827505353E-4
PREPL	15.0	0.001040626040626158
THAP8	12.0	-0.0016650016650014976
GORASP2	2.0	-5.827505827505353E-4
NME7	13.0	-0.0016650016650014976
RBP1	5.0	-5.827505827505353E-4
CKS2	11.0	-0.0016650016650014976
ROR1	20.0	0.011322011322011494
MTFR2	23.0	0.011322011322011494
EPHA1	11.0	-0.0016650016650014976
KCTD15	13.0	-0.0016650016650014976
SEC22C	6.0	-5.827505827505353E-4
KDM3A	4.0	-5.827505827505353E-4
TMEM63A	13.0	-0.0016650016650014976
AMIGO2	2.0	-5.827505827505353E-4
NEDD4L	15.0	0.001040626040626158
GSTT2	13.0	-0.0016650016650014976
FBLN1	21.0	0.011322011322011494
NPAS2	5.0	-5.827505827505353E-4
FOXO1	2.0	-5.827505827505353E-4
AURKA	9.0	-5.827505827505353E-4
RAI1	2.0	-5.827505827505353E-4
WDCP	11.0	-0.0016650016650014976
BCLAF1	23.0	0.011322011322011494
APOM	6.0	-5.827505827505353E-4
ZNF701	11.0	-0.0016650016650014976
TBL1X	16.0	0.011322011322011494
SF3B1	1.0	-5.827505827505353E-4
ST3GAL2	10.0	-5.827505827505353E-4
HEXIM2	13.0	-0.0016650016650014976
FZD2	1.0	-5.827505827505353E-4
HSPA5	1.0	-5.827505827505353E-4
ANGPT1	21.0	0.011322011322011494
FANCL	14.0	-0.0016650016650014976
CAV1	15.0	0.001040626040626158
SEMA4F	14.0	-0.0016650016650014976
C1ORF21	1.0	-5.827505827505353E-4
FOXN3	2.0	-5.827505827505353E-4
FBXL14	24.0	0.011322011322011494
ELP6	14.0	-0.0016650016650014976
KLF7	16.0	0.011322011322011494
KIF26A	2.0	-5.827505827505353E-4
COL7A1	12.0	-0.0016650016650014976
UBE2T	12.0	-0.0016650016650014976
ID1	6.0	-5.827505827505353E-4
NANOG	1.0	-5.827505827505353E-4
PKIG	3.0	-5.827505827505353E-4
CDS2	2.0	-5.827505827505353E-4
