Item ID	Item value	Change in Kuiper test statistic when item removed
CNTNAP3	-2.0	-0.03296703296703285
JPT1	9.0	0.04395604395604402
KDM3A	0.0	0.00869963369963378
AMIGO2	-2.0	-0.03296703296703285
TNC	-2.0	-0.03296703296703285
FZD10	-1.0	-0.03296703296703285
FOXO1	-2.0	-0.03296703296703285
DUSP6	5.0	0.04395604395604402
KLF7	12.0	0.04395604395604402
CA2	11.0	0.04395604395604402
DPYSL3	-1.0	-0.03296703296703285
NANOG	-3.0	-0.07463369963369948
ROR1	16.0	0.04395604395604402
EPHA1	7.0	0.04395604395604402
