Item ID	Item value	Change in Kuiper test statistic when item removed
CNRIP1	18.0	0.00666666666666671
GALNT18	-1.0	-0.014999999999999791
TRADD	11.0	0.00666666666666671
MT1M	-3.0	-0.014999999999999791
FZD10	-1.0	-0.014999999999999791
KLHL35	10.0	0.00666666666666671
THBD	10.0	0.00666666666666671
HHAT	14.0	0.00666666666666671
DPF3	16.0	0.00666666666666671
CD34	19.0	0.00666666666666671
SOX7	-1.0	-0.014999999999999791
EPHB1	-3.0	-0.014999999999999791
ZNF436-AS1	3.0	0.0050000000000002265
PDGFRA	13.0	0.00666666666666671
RIPK3	8.0	0.0050000000000002265
PRKCE	-4.0	-0.03333333333333327
NAV2	11.0	0.00666666666666671
CH25H	9.0	0.0050000000000002265
MT1B	-2.0	-0.014999999999999791
ATF3	8.0	0.0050000000000002265
HOXB6	7.0	0.0050000000000002265
CHODL	17.0	0.00666666666666671
NDUFA4L2	6.0	0.0050000000000002265
ADCY4	-1.0	-0.014999999999999791
NPAS1	11.0	0.00666666666666671
NTN1	19.0	0.00666666666666671
ERICH5	10.0	0.00666666666666671
PDZD2	10.0	0.00666666666666671
ADAP2	12.0	0.00666666666666671
FLRT2	9.0	0.0050000000000002265
ERBB4	19.0	0.00666666666666671
CDH23	-2.0	-0.014999999999999791
RPRML	-3.0	-0.014999999999999791
FAM43B	-3.0	-0.014999999999999791
NPTX1	10.0	0.00666666666666671
HES2	-2.0	-0.014999999999999791
DUOX2	0.0	0.0050000000000002265
CBR3	5.0	0.0050000000000002265
TBX1	-1.0	-0.014999999999999791
FZD2	-3.0	-0.014999999999999791
RASL10A	1.0	0.0050000000000002265
IRX3	11.0	0.00666666666666671
ZBTB16	15.0	0.00666666666666671
IRX4	2.0	0.0050000000000002265
PDE4DIP	10.0	0.00666666666666671
KLF4	18.0	0.00666666666666671
TPPP3	-2.0	-0.014999999999999791
GJB2	0.0	0.0050000000000002265
RGCC	-3.0	-0.014999999999999791
NR4A3	6.0	0.0050000000000002265
HOXD8	17.0	0.00666666666666671
