Item ID	Item value	Change in Kuiper test statistic when item removed
FGFBP1	-3.0	-0.025691699604742713
DUSP2	5.0	-0.025691699604742824
METTL1	9.0	0.0197628458498027
ANGEL1	9.0	0.0197628458498027
TNFAIP2	3.0	-0.025691699604742713
SORD	18.0	0.06521739130434834
LAMC2	0.0	-0.025691699604742713
MST1R	7.0	-0.025691699604742824
BCS1L	9.0	0.0197628458498027
MCOLN2	0.0	-0.025691699604742713
NLE1	9.0	0.0197628458498027
HSPD1	9.0	0.0197628458498027
DHODH	9.0	0.0197628458498027
CIART	11.0	0.06142951251646944
ARNTL	0.0	-0.025691699604742713
NTF4	10.0	0.0197628458498027
SLC6A8	3.0	-0.025691699604742713
PLAU	3.0	-0.025691699604742713
COL8A2	-1.0	-0.025691699604742713
NIT1	10.0	0.0197628458498027
MON1A	9.0	0.0197628458498027
HSPA1A	9.0	0.0197628458498027
OSBP2	-3.0	-0.025691699604742713
