Item ID	Item value	Change in Kuiper test statistic when item removed
DIRAS3	-3.0	-0.009911141490089426
MOXD1	1.0	-0.009911141490089204
TFRC	3.0	-0.009911141490089204
SCHIP1	7.0	-0.0011392116655277729
PIGP	10.0	-0.0011392116655278839
ADK	-1.0	-0.009911141490089426
SNX10	-3.0	-0.009911141490089426
VLDLR	-1.0	-0.009911141490089426
ENO2	1.0	-0.009911141490089204
SAT1	8.0	-0.0011392116655278839
GLS	20.0	0.012018683071314262
RGS2	6.0	-0.009911141490089204
OPA1	-2.0	-0.009911141490089426
CHL1	16.0	0.012018683071314262
SACS	8.0	-0.0011392116655278839
ANXA7	0.0	-0.009911141490089426
NEFH	16.0	0.012018683071314262
PGM1	2.0	-0.009911141490089204
BNIP3L	0.0	-0.009911141490089426
HSP90AA1	13.0	0.012018683071314262
ALG8	10.0	-0.0011392116655278839
VWF	-3.0	-0.009911141490089426
LMO4	7.0	-0.0011392116655277729
IFRD1	8.0	-0.0011392116655278839
TUBG2	5.0	-0.009911141490089204
ACSL3	8.0	-0.0011392116655278839
RAD23B	-2.0	-0.009911141490089426
DUSP6	5.0	-0.009911141490089204
NIPSNAP2	-2.0	-0.009911141490089426
PREPL	11.0	0.012018683071314262
MPPED1	8.0	-0.0011392116655278839
GORASP2	-2.0	-0.009911141490089426
RFX5	8.0	-0.0011392116655278839
ANOS1	11.0	0.012018683071314262
CKS2	7.0	-0.0011392116655277729
SNRPA1	-2.0	-0.009911141490089426
LETMD1	9.0	-0.0011392116655278839
PLCB1	18.0	0.012018683071314262
MET	9.0	-0.0011392116655278839
STX1A	8.0	-0.0011392116655278839
HDGFL3	18.0	0.012018683071314262
PPID	8.0	-0.0011392116655278839
RTN2	10.0	-0.0011392116655278839
STOML1	8.0	-0.0011392116655278839
GMPR2	10.0	-0.0011392116655278839
ATP1A2	19.0	0.012018683071314262
GLRX	9.0	-0.0011392116655278839
COPS7A	7.0	-0.0011392116655277729
NREP	13.0	0.012018683071314262
TM2D3	-4.0	-0.01429710640237003
HSPA14	-3.0	-0.009911141490089426
NPAS2	1.0	-0.009911141490089204
HSPD1	9.0	-0.0011392116655278839
SOCS2	13.0	0.012018683071314262
LDHA	1.0	-0.009911141490089204
HSPH1	9.0	-0.0011392116655278839
ZNF706	10.0	-0.0011392116655278839
HNRNPDL	-3.0	-0.009911141490089426
FLRT2	9.0	-0.0011392116655278839
CRYM	0.0	-0.009911141490089426
CCT5	6.0	-0.009911141490089204
GABBR1	10.0	-0.0011392116655278839
ZNF142	8.0	-0.0011392116655278839
HSPA5	-3.0	-0.009911141490089426
ZNF184	7.0	-0.0011392116655277729
FN1	19.0	0.012018683071314262
PDE4DIP	10.0	-0.0011392116655278839
C1ORF21	-3.0	-0.009911141490089426
VEGFA	0.0	-0.009911141490089426
DNAJA1	8.0	-0.0011392116655278839
CDK5	10.0	-0.0011392116655278839
RCAN2	1.0	-0.009911141490089204
PDCD2	11.0	0.012018683071314262
CALM1	0.0	-0.009911141490089426
SCRG1	16.0	0.012018683071314262
C11ORF58	-2.0	-0.009911141490089426
CDS2	-2.0	-0.009911141490089426
