Item ID	Item value	Change in Kuiper test statistic when item removed
TNFSF14	6.0	-0.013157894736842701
C1S	-4.0	-0.013157894736842701
C1R	19.0	0.05043859649122728
MYEOV	7.0	-0.013157894736843145
ITGB3	-4.0	-0.013157894736842701
SLC6A14	4.0	-0.013157894736842701
TNFAIP2	3.0	-0.013157894736842701
IRAK3	20.0	0.09210526315789402
ADRB2	12.0	0.03947368421052566
TNF	7.0	-0.013157894736843145
SOCS3	4.0	-0.013157894736842701
DRAM1	10.0	0.02850877192982393
BCL3	3.0	-0.013157894736842701
IRF7	8.0	0.0065789473684203514
S100P	1.0	-0.013157894736842701
S100A9	1.0	-0.013157894736842701
BIRC3	9.0	0.017543859649122195
S100A7	0.0	-0.013157894736842701
IER3	4.0	-0.013157894736842701
OSBP2	-3.0	-0.013157894736842701
