Item ID	Item value	Change in Kuiper test statistic when item removed
CHIC2	13.0	-0.009178743961352709
CD83	12.0	-0.009178743961352709
PPP1R10	12.0	-0.009178743961352709
DIRAS1	15.0	-0.009178743961352598
NEDD4L	15.0	-0.009178743961352598
TNF	11.0	-0.009178743961352709
CIART	15.0	-0.009178743961352598
FLCN	10.0	-0.009178743961352598
EPM2AIP1	11.0	-0.009178743961352709
DBP	13.0	-0.009178743961352709
NFIL3	1.0	0.013043478260869601
KDM7A-DT	4.0	0.013043478260869601
CSKMT	12.0	-0.009178743961352709
SNHG20	11.0	-0.009178743961352709
CCL2	12.0	-0.009178743961352709
NPTX1	14.0	-0.009178743961352598
FILIP1L	13.0	-0.009178743961352709
C3ORF35	24.0	0.013043478260869545
IER3	8.0	0.013043478260869601
ZNF222	10.0	-0.009178743961352598
ZNF436-AS1	7.0	0.013043478260869601
AOC3	1.0	0.013043478260869601
OVGP1	2.0	0.013043478260869601
EGR1	8.0	0.013043478260869601
ZNF143	14.0	-0.009178743961352598
SNHG1	11.0	-0.009178743961352709
MPIG6B	13.0	-0.009178743961352709
PPTC7	1.0	0.013043478260869601
NAV2	15.0	-0.009178743961352598
TRAF1	15.0	-0.009178743961352598
KLF4	22.0	0.013043478260869545
GEM	22.0	0.013043478260869545
IFFO1	12.0	-0.009178743961352709
THAP1	12.0	-0.009178743961352709
PER2	21.0	0.013043478260869545
PER1	17.0	0.013043478260869545
KLF7	16.0	0.013043478260869545
PER3	15.0	-0.009178743961352598
NR4A3	10.0	-0.009178743961352598
ARHGAP30	24.0	0.013043478260869545
BCL3	7.0	0.013043478260869601
CRY1	1.0	0.013043478260869601
TMCC2	4.0	0.013043478260869601
ATF3	12.0	-0.009178743961352709
MXD3	23.0	0.013043478260869545
BIRC3	13.0	-0.009178743961352709
