Item ID	Item value	Change in Kuiper test statistic when item removed
CHIC2	13.0	-0.008503401360544116
CD83	12.0	-0.008503401360544227
PPP1R10	12.0	-0.008503401360544227
DIRAS1	15.0	-0.008503401360544227
TNF	11.0	-0.008503401360544227
FLCN	10.0	-0.008503401360544227
EPM2AIP1	11.0	-0.008503401360544227
DBP	13.0	-0.008503401360544116
KDM7A-DT	4.0	0.012329931972789088
CSKMT	12.0	-0.008503401360544227
LAMP3	6.0	0.012329931972789088
IER3	8.0	0.012329931972789088
ZNF436-AS1	7.0	0.012329931972789088
OVGP1	2.0	0.012329931972789088
PPTC7	1.0	0.012329931972789088
SP110	14.0	-0.008503401360544227
DUSP1	21.0	0.012329931972789143
NAV2	15.0	-0.008503401360544227
TRAF1	15.0	-0.008503401360544227
GEM	22.0	0.012329931972789143
THAP1	12.0	-0.008503401360544227
IRF7	12.0	-0.008503401360544227
CRY1	1.0	0.012329931972789088
ATF3	12.0	-0.008503401360544227
BIRC3	13.0	-0.008503401360544116
NEDD4L	15.0	-0.008503401360544227
CIART	15.0	-0.008503401360544227
NFIL3	1.0	0.012329931972789088
SNHG20	11.0	-0.008503401360544227
CCL2	12.0	-0.008503401360544227
NPTX1	14.0	-0.008503401360544227
FILIP1L	13.0	-0.008503401360544116
C3ORF35	24.0	0.012329931972789143
ZNF222	10.0	-0.008503401360544227
AOC3	1.0	0.012329931972789088
EGR1	8.0	0.012329931972789088
ZNF143	14.0	-0.008503401360544227
SNHG1	11.0	-0.008503401360544227
MPIG6B	13.0	-0.008503401360544116
KLF4	22.0	0.012329931972789143
IFFO1	12.0	-0.008503401360544227
PER2	21.0	0.012329931972789143
PER1	17.0	0.012329931972789143
KLF7	16.0	0.012329931972789143
PER3	15.0	-0.008503401360544227
NR4A3	10.0	-0.008503401360544227
ARHGAP30	24.0	0.012329931972789143
BCL3	7.0	0.012329931972789088
MXD3	23.0	0.012329931972789143
