Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	9.0	0.005291005291005513
SAMD9L	9.0	0.005291005291005513
TNFAIP6	18.0	0.042328042328042714
C1S	-4.0	-0.03174603174603152
LAMC2	0.0	-0.03174603174603152
USP18	8.0	0.005291005291005513
HK2	-1.0	-0.03174603174603152
OASL	5.0	-0.03174603174603152
HCAR2	7.0	-0.03174603174603152
RGS2	6.0	-0.03174603174603152
TRIM5	10.0	0.005291005291005624
LAMP3	2.0	-0.03174603174603152
PRDM16	9.0	0.005291005291005513
CASP1	13.0	0.042328042328042714
EGR1	4.0	-0.03174603174603152
HSPA5	-3.0	-0.03174603174603152
BTN3A1	12.0	0.042328042328042714
SP110	10.0	0.005291005291005624
TRAF1	11.0	0.042328042328042714
KLF4	18.0	0.042328042328042714
CH25H	9.0	0.005291005291005513
CEACAM1	19.0	0.042328042328042714
RAET1E	10.0	0.005291005291005624
IRF1	3.0	-0.03174603174603152
IRF7	8.0	0.005291005291005513
XAF1	9.0	0.005291005291005513
ATF3	8.0	0.005291005291005513
BIRC3	9.0	0.005291005291005513
