Item ID	Item value	Change in Kuiper test statistic when item removed
LY6K	14.0	0.025252525252525304
SAMD9L	9.0	0.002525252525252597
COL15A1	17.0	0.025252525252525304
COL13A1	2.0	-0.016414141414141326
C1S	-4.0	-0.02020202020202011
SERPINE2	-3.0	-0.02020202020202011
ITGB3	-4.0	-0.02020202020202011
PTAFR	4.0	0.002525252525252597
TNC	-2.0	-0.02020202020202011
LAMC2	0.0	-0.02020202020202011
TNF	7.0	0.002525252525252597
NID2	-4.0	-0.02020202020202011
USP18	8.0	0.002525252525252375
HK2	-1.0	-0.02020202020202011
OASL	5.0	0.002525252525252597
HCAR2	7.0	0.002525252525252597
SOCS3	4.0	0.002525252525252597
RGS2	6.0	0.002525252525252597
PLAU	3.0	-0.012626262626262541
LAMP3	2.0	-0.016414141414141326
CASP1	13.0	0.025252525252525304
HAS3	6.0	0.002525252525252597
NRIP3	7.0	0.002525252525252597
CCL2	8.0	0.002525252525252375
LDLR	10.0	0.002525252525252375
APOL2	11.0	0.002525252525252486
EGR1	4.0	0.002525252525252597
TCAF2	-2.0	-0.02020202020202011
ARG2	10.0	0.002525252525252375
IL4R	4.0	0.002525252525252597
TNFSF14	6.0	0.002525252525252597
SP110	10.0	0.002525252525252375
GFPT2	-2.0	-0.02020202020202011
TRAF1	11.0	0.002525252525252486
KLF4	18.0	0.025252525252525304
SORCS2	-3.0	-0.02020202020202011
CH25H	9.0	0.002525252525252597
CEACAM1	19.0	0.025252525252525304
RAET1E	10.0	0.002525252525252375
NAV3	11.0	0.002525252525252486
IRF1	3.0	-0.012626262626262541
IRF7	8.0	0.002525252525252375
XAF1	9.0	0.002525252525252597
ATF3	8.0	0.002525252525252375
BIRC3	9.0	0.002525252525252597
