Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	12.0	-0.009523809523809601
NFYA	12.0	-0.009523809523809601
DUSP1	21.0	0.04047619047619044
LRRC17	0.0	0.04047619047619044
PLPBP	14.0	-0.009523809523809601
RBM4B	12.0	-0.009523809523809601
GSTT2	13.0	-0.009523809523809379
DNAH9	15.0	-0.009523809523809379
JRKL	11.0	-0.009523809523809601
BTN3A2	13.0	-0.009523809523809379
TMEM186	11.0	-0.009523809523809601
HIC1	13.0	-0.009523809523809379
AURKA	9.0	0.04047619047619044
KLF7	16.0	-0.009523809523809379
TFCP2	15.0	-0.009523809523809379
PPP1R3C	3.0	0.04047619047619044
ZNF239	11.0	-0.009523809523809601
B9D1	16.0	-0.009523809523809379
DXO	12.0	-0.009523809523809601
MORC2	11.0	-0.009523809523809601
ZNF135	13.0	-0.009523809523809379
